id,type_id,country_id,date,first_round_election_id,early,wikipedia,seats_total,electorate,votes_cast,votes_valid,data_source,description,comment,previous_parliament_election_id,previous_ep_election_id,previous_cabinet_id,old_countryID,old_parlID
1,13,11,1972-11-25,,0,"http://en.wikipedia.org/wiki/New_Zealand_general_election,_1972",87,1569937,1410240,1401152,yb-nzl,,The sources are inconsistent in the number of seats. The official yearbook 1974 notifies 53 seats for Labour Party and 34 seats for National Party. The following yearbooks and Nohlen 2001 notifies the stated distribution.,120,,569,554,19720
2,13,64,1999-06-13,,1,"http://en.wikipedia.org/wiki/Belgian_federal_election,_1999",150,7343464,6650015,6214074,ibz,,,332,536,95,56,19990
3,13,9,2005-09-12,,0,"http://en.wikipedia.org/wiki/Norwegian_parliamentary_election,_2005",169,3421741,2649520,2638263,seby,,,328,,300,578,20050
4,1,23,2007-01-01,,0,"http://en.wikipedia.org/wiki/European_Parliament_election,_2007_(Romania)",35,,,,,,"Elections took only place later in 2007. Results reflect the initial composition of Romanian MEPs, based on the party composition of the Camera Deputaţilor.",165,,28,642,1020070
5,1,63,2009-06-07,,0,"http://en.wikipedia.org/wiki/European_Parliament_election,_2009_(Portugal)",22,9704559,3568943,3333195,cne,,possible error in the primary source due to the valid votes,210,140,169,620,1020090
6,13,37,1977-06-16,,1,"http://en.wikipedia.org/wiki/Irish_general_election,_1977",148,2118606,1616770,1603027,gall-09,,,283,,315,372,19770
8,13,72,1971-06-14,,0,"http://en.wikipedia.org/wiki/Maltese_general_election,_1971",55,181768,168913,168059,md,,,419,,681,470,19710
10,1,64,1984-06-17,,0,"http://en.wikipedia.org/wiki/European_Parliament_election,_1984_(Belgium)",24,6975855,6424168,5721894,ibz,,,501,442,724,56,1019840
11,13,59,1953-02-22,,1,"http://en.wikipedia.org/wiki/Austrian_legislative_election,_1953",165,4586870,4395519,4318688,"bmi, yb-aut","Early election on 22 February 1953.
Parliament was dissolved on 1 March 1953 after the end of the Raab I cabinet.",,67,,560,40,19530
13,1,59,1995-01-01,,0,"http://en.wikipedia.org/wiki/European_Parliament_election,_2009_%28Austria%29",21,,,,mep,,"Elections took only place in 1996. Results reflect the initial composition of Austrian MEPs, based on the party composition of the Nationalrat.",66,,294,40,1019950
14,1,63,1994-06-12,,0,"http://en.wikipedia.org/wiki/European_Parliament_election,_1994_(Portugal)",25,8565822,3044001,2949765,cne,,,90,504,282,620,1019940
15,13,67,1999-03-21,,0,"http://en.wikipedia.org/wiki/European_Parliament_election,_1999_(Finland)",200,4152430,2710095,2681291,"idea, tila",,,24,652,100,246,19990
16,1,59,1999-06-13,,0,"http://en.wikipedia.org/wiki/European_Parliament_election,_1999_(Austria)",21,5847660,2888733,2801353,bmi,,,162,22,412,40,1019990
17,13,26,1987-06-14,,1,"http://en.wikipedia.org/wiki/Italian_general_election,_1987",630,45692417,40586573,38571508,archivio,Early election on 14 June 1987.,,617,458,737,380,19870
18,1,54,2004-06-13,,0,"http://en.wikipedia.org/wiki/European_Parliament_election,_2004_(Germany)",99,61682394,26523104,25783678,bwl,,,385,417,529,276,1020040
19,13,64,1946-02-17,,0,"http://en.wikipedia.org/wiki/Belgian_general_election,_1946",202,2724796,2460609,2365638,ibz,,,882,,204,56,19460
20,13,43,1981-06-21,,1,"http://en.wikipedia.org/wiki/French_legislative_election,_1981",474,35536041,25182031,24822945,no-2010,,Seats total excludes 17 seats from overseas territories.,496,677,1148,250,19810
21,13,40,1951-10-28,,0,"http://en.wikipedia.org/wiki/Swiss_federal_election,_1951",196,1386146,986937,967989,bafs,,,684,,556,756,19510
22,1,59,1996-10-13,,0,"http://en.wikipedia.org/wiki/European_Parliament_election,_1996_(Austria)",21,5800377,3928538,3794145,bmi,,,162,13,323,40,1019960
23,1,8,1979-06-10,,0,"http://en.wikipedia.org/wiki/European_Parliament_election,_1979_(Netherlands)",25,9808158,5700583,5667303,verk,,,635,,563,528,1019790
24,13,67,1995-03-19,,0,"http://en.wikipedia.org/wiki/Finnish_parliamentary_election,_1995",200,4088358,2803602,2780921,"idea, tila",,,602,193,206,246,19950
25,13,5,1990-02-18,,1,"http://en.wikipedia.org/wiki/Japanese_general_election,_1990",512,90322908,66215906,65704311,parline,Parliament was dissolved on 18 June 1993 following the fall of the Miyazawa cabinet.,,506,,106,392,19900
27,13,68,1998-06-20,,1,"http://en.wikipedia.org/wiki/Czech_legislative_election,_1998",200,8116836,5994844,5969505,volby,Early election on 20 June 1998.,,301,,76,203,19980
28,1,51,2009-06-06,,0,"http://en.wikipedia.org/wiki/European_Parliament_election,_2009_(Cyprus)",6,526060,312479,306325,cy-gov,,,556,397,289,196,1020090
30,13,40,1955-10-30,,0,"http://en.wikipedia.org/wiki/Swiss_federal_election,_1955",196,1425421,998881,983020,bafs,,,21,,814,756,19550
32,13,10,1991-10-13,,0,"http://en.wikipedia.org/wiki/Bulgarian_parliamentary_election,_1991",240,6790006,5694842,5540837,essex,"Election on 13 October 1991.
Parliament was dissolved on 8 September 1994 after the end of the Berov cabinet.",,,,,100,19910
33,13,35,1998-09-20,,0,"http://en.wikipedia.org/wiki/Swedish_general_election,_1998",349,6603129,5374588,5261122,val,,,412,55,156,752,19980
34,1,37,1994-06-12,,0,"http://en.wikipedia.org/wiki/European_Parliament_election,_1994_(Ireland)",15,2631575,1157296,1137490,eie,,,359,46,748,372,1019940
35,13,56,1946-06-30,,0,"http://en.wikipedia.org/wiki/Icelandic_parliamentary_election,_1946",52,77670,67896,66913,gud97,,,780,,435,352,19460
36,13,56,2009-04-25,,1,"http://en.wikipedia.org/wiki/Icelandic_parliamentary_election,_2009",63,227896,193934,187183,"hagstofa, parline",Early election on 25 April 2009.,,265,,538,352,20090
37,1,44,1979-06-10,,0,"http://en.wikipedia.org/wiki/European_Parliament_election,_1979_(United_Kingdom)",81,41155166,13446091,13397858,"bef-7, ukeu",,,243,,273,826,1019790
38,1,27,1986-01-01,,0,"http://en.wikipedia.org/wiki/European_Parliament_election,_1987_(Spain)",60,,,,,,"Elections took only place in 1987. Results reflect the initial composition of Spanish MEPs, based on the party composition of the Congress of Deputies.",85,,238,724,1019860
39,13,68,1992-06-06,,0,"http://en.wikipedia.org/wiki/Czech_legislative_election,_1992",200,7738961,6583988,6473250,essex,,,63,,262,203,19920
40,13,44,1974-10-10,,1,"http://en.wikipedia.org/wiki/United_Kingdom_general_election,_1974",635,40072970,29226810,29189104,,"Early election on 10 October 1974.
Parliament was dissolved after Labour minority government and PM Wilson called for an early election in the hope to gain a parliamentary majority.",,568,,419,826,19741
41,13,35,1964-09-20,,0,"http://en.wikipedia.org/wiki/Swedish_general_election,_1964",233,5095850,4273595,4245780,,,,295,,424,752,19640
42,13,27,1977-06-15,,0,"http://en.wikipedia.org/wiki/Spanish_general_election,_1977",350,23583762,18590130,18278085,epp,,,,,,724,19770
43,13,37,1987-02-17,,1,"http://en.wikipedia.org/wiki/Irish_general_election,_1987",166,2445515,1793406,1777165,"gall-09, no-2010",,,307,344,867,372,19870
44,1,27,1994-06-12,,0,"http://en.wikipedia.org/wiki/European_Parliament_election,_1994_(Spain)",64,31558999,18664055,18364794,epp,,,252,474,654,724,1019940
45,1,59,2004-06-13,,0,"http://en.wikipedia.org/wiki/European_Parliament_election,_2004_(Austria)",18,6049129,2566639,2500610,bmi,,,365,16,257,40,1020040
46,1,37,1989-06-18,,0,"http://en.wikipedia.org/wiki/European_Parliament_election,_1989_(Ireland)",15,2453451,1675119,1632728,eie,,,590,344,77,372,1019890
47,13,37,1981-06-11,,1,"http://en.wikipedia.org/wiki/Irish_general_election,_1981",166,2275450,1734379,1718211,"gall-09, no-2010",,,6,414,442,372,19810
