comment,commission_year,elected,portfolio,id,one_seat,country_id,commission_name,incumbent,person_id,person_id_source,start_date,end_date,score_position,party_id,president,highest_position,data_source,government_party,previous_cabinet_id
,1958,1,internal market,1,0,26,Hallstein I,0,4616,"Caron, Giuseppe",1959-12-09,1962-01-09,0.46,1633,0,junior minister civilian aviation,doering,10,372
,1958,0,competition,2,0,54,Hallstein I,0,16293,"Groeben, Hans von der",1958-01-10,1962-01-09,0.2,808,0,diplomat,doering,10,793
Lemaignen had been the vice-president of the French employers federation http://www.fep.up.pt/investigacao/seminarios/04.10.15_Maes.pdf; maj_party missing,1958,0,overseas countries and territories,3,0,43,Hallstein I,0,12874,"Lemaignen, Robert",1958-01-10,1962-01-09,0.2,947,0,vice president of the French employers federation,doering,12,458
,1958,0,social affairs,4,0,26,Hallstein I,0,14658,"Levi Sandri, Lionello",1961-02-22,1962-01-09,0.2,1475,0,party elite (no outstanding position),doering,11,810
,1958,1,internal market,5,0,26,Hallstein I,0,366,"Malvestiti, Piero",1958-01-10,1959-10-15,0.87,1633,0,minister industry and trade,doering,10,280
,1958,1,agriculture,6,1,8,Hallstein I,0,11499,"Mansholt, Sicco Leendert",1958-01-10,1962-01-09,0.74,742,0,minister agriculture,doering,10,761
"adviser to socialist minister, socialist candidate in 1962 election",1958,0,economic and financial affairs,7,0,43,Hallstein I,0,12005,"Marjolin, Robert",1958-01-10,1962-01-09,0.2,1539,0,head of cabinet for minister of foreign affairs,doering,10,458
,1958,0,social affairs,8,0,26,Hallstein I,0,584,"Petrilli, Giuseppe",1958-01-10,1961-02-08,0.2,1633,0,president of national schools for social policy,doering,10,280
,1958,1,external affairs,9,1,64,Hallstein I,0,801,"Rey, Jean",1958-01-10,1962-01-09,1.02,63,0,minister economic affairs,doering,10,745
,1958,1,,10,1,7,Hallstein I,0,4128,"Schaus, Lambert",1958-01-10,1962-01-09,1.07,1234,0,minister economy and defense,doering,10,500
,1958,1,president,11,0,54,Hallstein I,0,2737,"Hallstein, Walter",1958-01-10,1962-01-09,0.84,808,1,junior minister foreign affairs,doering,10,793
,1962,1,internal market,12,0,26,Hallstein II,1,4616,"Caron, Giuseppe",1962-01-10,1963-05-16,0.46,1633,0,junior minister civilian aviation,doering,10,810
,1962,0,competition,13,0,54,Hallstein II,1,16293,"Groeben, Hans von der",1962-01-10,1967-07-05,0.2,808,0,diplomat,doering,10,62
,1962,0,social affairs,14,0,26,Hallstein II,1,14658,"Levi Sandri, Lionello",1962-01-10,1967-07-05,0.2,1475,0,party elite (no outstanding position),doering,11,810
,1962,1,agriculture,15,1,8,Hallstein II,1,11499,"Mansholt, Sicco Leendert",1962-01-10,1967-07-05,0.74,742,0,minister agriculture,doering,11,694
"adviser to socialist minister, socialist candidate in 1962 election",1962,0,economic and financial affairs,16,0,43,Hallstein II,1,12005,"Marjolin, Robert",1962-01-10,1967-07-05,0.2,1539,0,head of cabinet for minister of foreign affairs,doering,11,692
Information provided by Fabio Franchino,1962,0,industry,17,0,26,Hallstein II,0,14467,"Paliano, Guido Colonna Di",1964-09-09,1967-07-05,0.2,1552,0,ambassador. vice general secretary NATO,doering,12,705
,1962,1,external affairs,18,1,64,Hallstein II,1,801,"Rey, Jean",1962-01-10,1967-07-05,1.02,63,0,minister economic affairs,doering,11,613
Munzinger gives no party information. though he was member of a government. I gave him the party score of the government he was a member of.,1962,1,development policy,19,0,43,Hallstein II,0,7051,"Rochereau, Henri",1962-01-10,1967-07-05,1.24,947,0,minister agriculture,doering,10,692
,1962,1,,20,1,7,Hallstein II,1,4128,"Schaus, Lambert",1962-01-10,1967-07-05,1.07,1234,0,minister economy and defense,doering,10,832
,1962,1,president,21,0,54,Hallstein II,1,2737,"Hallstein, Walter",1962-01-10,1967-07-05,0.84,808,1,junior minister foreign affairs,doering,10,62
,1967,0,economic affairs,22,0,43,Rey,0,7144,"Barre, Raymond",1967-07-06,1970-06-30,0.2,947,0,professor,doering,12,662
,1967,1,Transport policy,23,1,7,Rey,0,6040,"Bodson, Victor",1967-07-06,1970-06-30,1.07,701,0,minister justice,doering,10,491
