id,Country,Party,PartyName
1,AL,BK,Party of the Albanian National Front
14,AL,BLSH,Albanian Liberal Union
38,AL,PAD,Party of the Democratic Alliance
64,AL,PAS,Agrarian Party of Albania
66,AL,PBDNJ,Human Rights' Union Party
92,AL,PD,Democratic Party
118,AL,PDr,Reformed Democrat Party
144,AL,PLL,Movement of Legality Party
170,AL,PR,Republican Party
196,AL,PS,Socialist Party of Albania
222,AL,PSD,Social Democratic Party
248,BY,APB,Agrarian Party Belarusian
274,BY,BPF,Belarusian People's Front
300,BY,BSDH,Belarusian Social-Democratic Hramada
326,BY,BSDP-NH,Belarusian Social-Democratic Party 'Narodnaya Hramada'
352,BY,CCP,Conservative-Christian Party of Belarusian People's Front
378,BY,KPB,Communist Party of Belarus
404,BY,LDP,Liberal-Democratic Party of Belarus
430,BY,LP,Labour Party
456,BY,PKB,Party of Communists Belarusian
482,BY,UCP,United Civic Party
508,BY,WP,Women's Party
534,BA,HDZ,Croatian Democratic Community
560,BA,PDP,Party for Democratic Progress
585,BA,SBiH,Party for Bosnia and Hercegovina
611,BA,SDA,Party of Democratic Action
636,BA,SDP,Social Democratic Party of Bosnia and Hercegovina
661,BA,SDS,Serbian Democratic Party
687,BA,SNSD,Party of Independent Social Democrats
712,BA,SPRS,Socialist Party of Republic of Srpska
737,BG,BBB,Bulgarian Business Bloc
763,BG,BKP,Bulgarian Communist Party
789,BG,BNDP,Bulgarian national democratic party
815,BG,BSDP,Bulgarian social-democratic party
841,BG,BSP,Bulgarian Socialist Party
867,BG,BZNS,Bulgarian Agricultural National Union
893,BG,CPB,Citizens' Party for Bulgaria
894,BG,DPS,Movement for Rights and Freedoms
920,BG,G,St.George Day Movement
946,BG,NDST,National movement 'Simeon II'
972,BG,ODS,Union of Democratic Forces
998,BG,UFD,Union of Free Democrats
1016,BG,VMRO,VMRO - Bulgarian National Movement
1042,HR,DC,Democratic Center
1068,HR,HB,Croatian Block
1094,HR,HDZ,Croatian Democratic Community
1120,HR,HNS,Croatian People's Party
1146,HR,HSLS,Croatian Social Liberal Party
1172,HR,HSP,Croatian Rights Party
1198,HR,HSS,Croatian Peasant Party
1224,HR,IDS,Istrian Democratic Union
1250,HR,LIBRA,Party of Liberal Democrats (Libra)
1276,HR,LS,Liberal Party
1302,HR,SDP,Social Democratic Party of Croatia
1328,CZ,CSSD,Czech Social Democratic Party
1354,CZ,KDU,Christian and Democratic Union-Czechoslovak People
1380,CZ,KSCM,Communist Party of Bohemia and Moravia
1406,CZ,MDS,Moravian Democratic Party
1432,CZ,NKL,National Conservative League (Illegal)
1458,CZ,ODS,Civic Democratic Party
1484,CZ,RMS,Republicans of Miroslav Sladek
1510,CZ,SNK,Association of Independents
1536,CZ,SZ,Green Party
1562,CZ,SZJ,Party for Security in Life
1586,CZ,US,Freedom Union-Democratic Union
1612,EE,EKRP,Eesti Kristlik Rahvapartei
1638,EE,ESDTP,Eesti Sotsiaaldemokraatlik Tööpartei
1664,EE,EÜRP,Eestimaa Ühendatud Rahvapartei
1690,EE,Isam,Erakond Isamaaliit
1716,EE,Kesk,Eesti Keskerakond
1742,EE,Mõõd,Rahvaerakond Mõõdukad
1768,EE,RL,Eestimaa Rahvaliit
1794,EE,Ref,Eesti Reformierakond
1820,EE,ResP,Ühendus Vabariigi Eest - Res Publica
1846,HU,CENTRUM,Center Party
1872,HU,FIDESZ,Fidesz – Hungarian Civic Party
1898,HU,FKGP,Independent Smallholders’ Party
1924,HU,MDF,Hungarian Democratic Forum
1950,HU,MIÉP,Hungarian Justice and Life Party
1976,HU,MSZP,Hungarian Socialist Party
2002,HU,MUNKÁS,Workers’ Party
2028,HU,SZDSZ,Alliance of Free Democrats
2054,LV,JL,New Era
2080,LV,LPP,Latvia's First Party
2106,LV,PCTVL,For Human Rights in a United Latvia
2132,LV,TB/LNNK,Alliance Fatherland and Freedom-LNNK
2158,LV,TP,People's Party
2184,LV,TSP,People's Harmony Party
2210,LV,ZZS,Green and Farmers Union
2236,LT,LDP,Liberal Democratic Party
2264,LT,LKD,Lithuanian Christian Democrats
2292,LT,LKDS,Union of Lithuanian Christian Democrats
2320,LT,LSDP,Lithuanian Social Democratic Party
2348,LT,LiCS,Union of Liberals and Center
2376,LT,NS/SL,New Union- Social Liberals
2404,LT,TS,"Homeland Union (Conservatives, Christian Democrats, Freedom Fighters)"
2432,LT,VNDPS,Union of Peasant and New Democracy Parties
2460,MK,DA,Democratic Alternative
2486,MK,DPA,Democratic Party of the Albanians
2512,MK,DS,Democratic Union
2538,MK,DUI,Democratic Union for Integrations
2564,MK,LDP,Liberal Democratic Party
2590,MK,LP,Liberal Party
2616,MK,PDP,Party for Democratic Prosperity
2642,MK,SDSM,Social Democratic Union of Macedonia
2668,MK,SPM,Socialist Party of Macedonia
2694,MK,VMRO-DPMNE,Democratic Party for Macedonian National Unity
2720,MD,ASLMN,Social Liberal Alliance 'Our Moldova'
2746,MD,PCRM,Party of the Communists of the Republic of Moldova
2772,MD,PDAM,Democratic Agrarian Party of Moldova
2798,MD,PDM,Democratic Party of Moldova
2824,MD,PPCD,Christian-Democratic People's Party
2850,MD,PSD-P,Social Democratic Party-Social Liberal Party
2876,MD,PSDM,Social-Democratic Party of Moldova
2902,MD,UCM,Centrist Union of Moldova
2928,PL,AWS,Solidarity Election Action
2954,PL,LPR,League of Polish Families
2980,PL,PO,Citizens' Platform
3006,PL,PSL,Polish Peasant Party
3032,PL,PiS,Law and Justice
3058,PL,ROP,Movement for the Reconstruction of Poland
3076,PL,S,Self Defence of the Polish Republic
3102,PL,SLD,Alliance of Democratic Left
3128,PL,UP,Labour Union
3154,PL,UPR,Union for Real Politics
3180,PL,UW,Freedom Union
3206,PL,ZKPP,ZKP/Proletartiat/KPP/PSPR combined
3226,RO,PD,Democrat Party
3252,RO,PNL,National Liberal Party
3278,RO,PNTCD,Christian Democratuc National Peasants's Party
3304,RO,PRM,Great Romania Party
3330,RO,PSD,Social Democratic Party
3356,RO,PUR,Humanist Party of Romania
3382,RO,UDMR,Romániai Magyar Demokrata Szövetseg
3408,RU,ER,United Russia
3434,RU,KPRF,Communist Party of the Russian Federation
3460,RU,LDPR,Liberal Democratic Party of Russia
3486,RU,RODINA,People's Patriotic Block 'Motherland'
3512,RU,SPS,Union of Right Forces
3538,RU,YABLOKO,Yabloko
3564,SR,DA,Democratic Alternative
3590,SR,DHSS,Christian-Democratic Party of Serbia
3616,SR,DOS,Democratic Opposition of Serbia
3642,SR,DSS,Democratic Party of Serbia
3668,SR,GSS,Civic Alliance of Serbia
3694,SR,SDP,Social Democratic Party of Serbia
3720,SR,SNS,Socialist People's Party
3746,SR,SPO,Serbian Renewal Movement
3772,SR,SPS,Serb Socialist Party
3798,SR,SRS,Serb Radical Party
3824,SR,SSJ,Party of Serb Unity
3850,SK,ANO,New Civic Alliance
3876,SK,HZDS,Movement for a Democratic Slovakia
3902,SK,KDH,Christian Democratic Movement
3928,SK,KSS,Slovak Communist Party
3954,SK,LU,People's Union
3977,SK,OKS,Civic Conservative Party
4001,SK,RPS,RPS
4027,SK,SDA,Social-Democratic Alternative
4053,SK,SDL',Party of Democratic Left
4079,SK,SKDU,Slovak Democratic and Christian Union
4105,SK,SMK,Party of the Hungarian Coalition
4131,SK,SNS,Slovak National Party
4157,SK,Smer,Party Direction - Third Way
4183,SI,DeSUS,DemokratiÄna Stranka Upokojencev Slovenije
4209,SI,LDS,Liberalna Demokracija Slovenije
4235,SI,NSi,Nova Slovenija-KrÅ¡Äanska Ljudska Stranka
4261,SI,SDS,Socialdemokratska Stranka Slovenije
4287,SI,SLS,Slovenska Ljudska Stranka
4313,SI,SMS,Stranka Mladih Slovenije
4339,SI,SNS,Slovenska Nacionalna Stranka
4365,SI,ZLSD,ZdruÅ¾ena Lista Socialnih Demokratov
4391,UA,DPU-DS,Democratic Party of Ukraine/Democratic Union
4417,UA,JT,Juliya Tymoshenko Election Blok
4443,UA,KPU,Communist Party of Ukraine
4469,UA,NU,Viktor Yushchenko Bloc Our Ukraine
4495,UA,NV,Nataliya Vitrenko Bloc
4521,UA,PZU,Green Party of Ukraine
4547,UA,SDPU,United Social-Democratic Party of Ukraine
4573,UA,SPU,Socialist Party of Ukraine
4599,UA,YA,Political   Party 'Yabluko'
4625,UA,YE,Ukrainian   Party 'Unity'
4651,UA,ZM,All-Ukrainian  Political Union 'Zhinky za Majbutnie' (Women for the Future)
4677,UA,ZYU,For United Ukraine
4703,AU,AD,Australian Democrats
4721,AU,ALP,Australian Labor Party
4739,AU,GRN,Australian Greens
4757,AU,LPA,Liberal Party of Australia
4775,AU,NP,National Party of Australia
4793,AU,ON,Pauline Hanson's One Nation
