id,country,name_short,name,name_english
102,1,PS,Parti Socialiste,Socialist Party
103,1,SP; SPA,Socialistische Partij;  Socialistische Partij Anders-Spirit,Socialist Party; Socialist Party Different-Spirit
104,1,ECOLO,Ecolo,Ecolo
105,1,AGALEV; Groen,Agalev; Groen!,Agalev; Green!
106,1,PRL; MR,Parti Réformateur Libéral; Mouvement Réformateur,Liberal Reformist Party; Reformist Movement
107,1,VLD,Vlaamse Liberalen en Democraten,Flemish Liberals and Democrats
108,1,PSC; CDH,Parti Social Chrétien; Centre Démocrate Humaniste,Christian Social Party; Humanist Democratic Centre
109,1,CVP; CD&V,Christelijke Volkspartij; Christen-Democratisch & Vlaams,Christian People’s Party; Christian Democratic & Flemish
110,1,VU; NVA,Volksunie; Nieuw-Vlaamse Alliantie,People’s Union; New Flemish Alliance
111,1,FDF/RW,Front Démocratique des Francophones,Francophone Democratic Front
112,1,VB,Vlaams Block; Vlaams Belang,Flemish Bloc; Flemish Interest
113,1,MCC,Mouvement des Citoyens pour le Changement,Citizens’ Movement for Change
114,1,ID21,ID21,ID21
115,1,FN,Front National,National Front
117,1,LDD,Lijst DeDecker,List Dedecker
118,1,SLP,Sociaal-Liberale Partij,Social-Liberal Party
119,1,PVDA,Partij van de Arbeid in Belgie,Workers Party of Belgium
201,2,SD,Socialdemokraterne,Social Democrats
202,2,RV,Det Radikale Venstre,Radical Left-Social Liberal Party
203,2,KF,Konservative Folksparti,Conservative People's Party
204,2,CD,Centrum-Demokraterne,Centre Democrats
206,2,SF,Socialistisk Folkeparti,Socialist People's Party
210,2,KRF,Kristeligt Folkeparti,Christian People’s Party
211,2,V,"Venstre, Danmarks Liberale Parti","Venstre, Liberal Party of Denmark"
212,2,FP,Fremskridtspartiet,Progress Party
213,2,EL,Enhedslisten,Unity List-Red/Green Alliance
215,2,DF,Dansk Folkeparti,Danish People's Party
216,2,JuniB,Junibevaegnelsen,June Movement
217,2,FolkB,Folkebevægelsen mod EU,People's Movement Against the EU
218,2,LA,Liberal Alliance,Liberal Alliance
301,3,CDU,Christlich Demokratische Union,Christian Democratic Union
302,3,SPD,Sozialdemokratische Partei Deutschlands,Social Democratic Party of Germany
303,3,FDP,Freie Demokratische Partei,Free Democratic Party
304,3,Grünen,Bündnis '90/Die Grünen,Alliance 90/The Greens
305,3,REP,Republikaner,Republikaner
306,3,PDS; Linkspartei/PDS,Partei des Demokratischen Sozialismus; Die Linkspartei/ Partei des Demokratischen Sozialismus,Party of Democratic Socialism; Left Party/Party of Democratic Socialism
308,3,CSU,Christlich Soziale Union in Bayern,Christian Social Union in Bavaria
309,3,DVU,Deutsche Volksunion,German People’s Union
401,4,PASOK,Panellinio Sosialistikó Kínima,Panhellenic Socialist Movement
402,4,ND,Néa Dimokratía,New Democracy
403,4,SYN; SYRIZA,Synaspismós tīs Aristerás kai tīs Proódou; Synaspismós Rizospastikís Aristerás,Coalition of the Left and Progress; Coalition of the Radical Left
404,4,KKE,Kommounistikó Kómma Elládas,Communist Party of Greece
408,4,POLA,Politiki Anixi,Political Spring
409,4,DIKKI,Dimokratiko Kinoniko Kinima,Democratic Social Movement
410,4,LAOS,Laïkós Orthódoxos Synagermós,Popular Orthodox Rally
411,4,OP,Oikologoi Prasinoi,Ecologist Greens
501,5,PSOE,Partido Socialista Obrero Español,Spanish Socialist Workers' Party
502,5,PP,Partido Popular,People's Party
504,5,IU,Izquierda Unida,United Left
505,5,CiU,Convergència i Unió,Convergence and Unity
506,5,PNV,Euzko Alderdi Jeltzalea/ Partido Nacionalista Vasco,Basque Nationalist Party
507,5,EA,Eusko Alkartasuna,Basque Solidarity
508,5,EH,Euskal Herritarrok,We Basque Citizens
510,5,PAR,Partido Aragonés,Aragonese Party
511,5,ERC,Esquerra Republicana de Catalunya,Republican Left of Catalonia
512,5,UV,Unión Valenciana,Valencian Union
513,5,BNG,Bloque Nacionalista Galego,Galician Nationalist Bloc
514,5,VERDE,Los Verdes,The Greens
516,5,PA,Partido Andalucista,Andalusian Party
517,5,CC,Coalicion Canaria,Coalicion Canaria
518,5,IC,Iniciativa per Catalunya,Initiative for Catalonia
519,5,PSC,Partit dels Socialistes de Catalunya,Catalan Socialist Party
520,5,CHA,Chunta Aragonesista,Aragonese Council
521,5,CpE, Coalicion por Europa,Coalition for Europe
522,5,EdP-V,Europa de los Pueblos-Los Verdes,Europe of the Peoples-Greens
523,5,UPD,Union Progreso y Democracia,"Union, Progress, and Democracy"
601,6,PCF,Parti Communiste Français,French Communist Party
602,6,PS,Parti Socialiste,Socialist Party
603,6,PRG,Parti Radical de Gauche,Left Radical Party
605,6,VERTS,Les Verts,Green Party
609,6,RPR; UMP,Rassemblement pour la République; Union pour un Mouvement Populaire,Rally for the Republic; Union for Popular Movement
610,6,FN,Front National,National Front
612,6,RPF/MPF; MPF,Rassemblement pour la France/Mouvement Pour la France; Mouvement Pour la France,Rally for France/Movement for France; Movement for France
613,6,UDF,Union pour la Démocracie Française,Union for French Democracy
614,6,LO-LCR,Lutte Ouvrière/Ligue communiste révolutionnaire,Workers Fight/Revolutionary Communist League
615,6,DL,Démocratie Libérale,Liberal Democracy
617,6,MEI,Mouvement Ecologiste Indépendant,Independent Ecological Movement
618,6,D,La Droite,The Right
619,6,CPNT,"Chasse, Pêche, Nature, Traditions","Hunting, Fishing, Nature, Tradition Party"
620,6,MN,Mouvement National Républicain,National Republican Movement
701,7,FF,Fianna Fail,Soldiers of Destiny
702,7,FG,Fine Gael,Family of the Irish
703,7,Lab,Labour,Labour
705,7,GP,Green Party,Green Party
706,7,PD,Progressive Democrats,Progressive Democrats
707,7,SF,Sinn Fein,We Ourselves
708,7,SP,Socialist Party,Socialist Party
710,7,SP,Socialist Party,Socialist Party
802,8,PDS; DS,Partito Democratico della Sinistra; Democratici di Sinistra,Democratic Party of the Left; Democrats of the Left
803,8,RC,Rifondazione Comunista,Communist Refoundation Party
805,8,AN,Alleanza Nazionale,National Alliance
806,8,PRI,Partito Repubblicano Italiano,Italian Republican Party
807,8,PSDI; SDI,Partito Socialista Democratico Italiano; Socialisti Democratici Italiani,Italian Democratic Socialist Party; Italian Democratic Socialists
808,8,Verdi,Federazione dei Verdi,Federation of Greens
811,8,LN,Lega Nord,Northern League
813,8,RAD,Radicali Italiani,Italian Radicals
814,8,CCD; UDC,Centro Cristiano Democratico; Unione dei Democratici Cristiani e die Democratici di Centro,Christian Democratic Center; Union of Christian and Center Democrats
815,8,FI,Forza Italia,Forward Italy
817,8,CU/UD,Unione Democratica,Democratic Union
818,8,CDU,Cristiani Democratici Uniti,United Christian Democrats
819,8,DEM; DL,I Democratici; Democrazia è Libertà-La Margherita,The Democrats; Democracy is Freedom—The Daisy
820,8,LB,Lista Bonino,Bonino List
821,8,MS,Movimento Sociale Fiamma Tricolore,Tricolor Flame Social Movement
822,8,PdUP,Partito di Unità Proletaria,Party of Proletarian Unity for Communism
823,8,PPI,Partito Popolare Italiano,Italian Popular Party
824,8,PsDA,Partito Sardo d'Azione,Sardinian Action Party
825,8,RI,Rinnovamento Italiano,Italian Renewal-Dini List
826,8,SEG,Patto Segni,Segni Pact
827,8,SVP,Südtiroler Volkspartei,South Tyrolean People's Party
828,8,IdV,Di Pietro-Italia dei Valori,Italy of Values
829,8,UDEUR,Popolari-UDEUR,Popular-UDEUR
830,8,PP,Partito dei Pensionati,Pensioners' Party
832,8,MRE,Movimento Repubblicani Europei,European Republican Movement
835,8,NPSI,Nuovo Partito Socialista Italiano,New Italian Socialist Party
836,8,PdCI,Partito dei Comunisti Italiani,Party of Italian Communists
837,8,PD,Partido Democratico,Democratic Party
838,8,SL,Sinistra e Liberta,Left and Freedom
839,8,PSI,Partito Socialista Italiano,Italian Socialist Party
840,8,MpA,Movimento per le Autonomie,Movement for Autonomies
841,8,PCI,Partito dei Comunisti Italian,Italian Communist Party
842,8,SD,Sinistra Democratica,Democratic Left
1001,10,CDA,Christen-Democratisch Appel,Christian Democratic Appeal
1002,10,PvdA,Partij van de Arbeid,Labour Party
1003,10,VVD,Volkspartij voor Vrijheid en Demokratie,People's Party for Freedom and Democracy
1004,10,D66,Democraten 66,Democrats 66
1005,10,GL,Groen Links,Green Left
1006,10,SGP,Staatkundig Gereformeerde Partij,Political Reformed Party
1007,10,GPV,Gereformeerd Politiek Verbond,Reformed Political League
1008,10,RPF,Reformatorische Politieke Federatie,Reformational Political Federation
1009,10,CD,Centrum Democraten,Center Democrats
1014,10,SP,Socialistische Partij,Socialist Party
1015,10,LPF,Lijst Pim Fortuyn,Lijst Pim Fortuyn
1016,10,CU,Christen Unie,Christian Union
1017,10,PVV,Partij voor de Vrijheid,Party for Freedom
1018,10,PvdD,Partij voor de Dieren,Party for the Animals
1019,10,SGP,Sttatkundig Gereformeerde Partij,Reformed Political Party
1101,11,Cons,Conservative Party,Conservative Party
1102,11,Lab,Labour Party,Labour Party
1104,11,LibDems,Liberal Democratic Party,Liberal Democratic Party
1105,11,SNP,Scottish National Party,Scottish National Party
1106,11,Plaid,Plaid Cymru,Party of Wales
1107,11,Greens,Green Party,Green Party
1108,11,UKIP,United Kingdom Independence Party,United Kingdom Independence Party
1109,11,BNP,British National Party,British National Party
1201,12,CDU,Coligação Democrática Unitária,Unitarian Democratic Coalition
1202,12,"CDS/PP,",Centro Democrático e Social/ Partido Popular,Democratic and Social Center/People's  Party
1205,12,PS,Partido Socialista,Socialist Party
1206,12,PPD/PSD,Partido Popular Democrático/Partido Social Democrata,Democratic People's Party/ Social Democratic Party
1208,12,BE,Bloco de Esquerda,Left Bloc
1301,13,SPÖ,Sozialdemokratische Partei Österreichs,Social Democratic Party of Austria
1302,13,ÖVP,Österreichische Volkspartei,Austrian People's Party
1303,13,FPÖ,Freiheitliche Partei Österreichs,Freedom Party of Austria
1304,13,Grüne,Die Grünen,The Austrian Green Party
1306,13,LIF,Liberales Forum,Liberal Forum
1307,13,BZÖ,Bündnis Zukunft Österreich,Alliance for the Future of Austria
1308,13,MARTIN,Liste Dr. Hans-Peter Martin,Hans-Peter Martin's List
1401,14,SDP,Suomen Sosialidemokraattinen,Social Democratic Party of Finland
1402,14,KOK,Kansallinen Kokoomus,National Coalition Party
1403,14,KESK,Suomen Keskusta,Finnish Center Party
1404,14,VAS,Vasemmistoliitto,Left Alliance
1405,14,True Finns,Persussuomalaiset,True Finns
1406,14,RKP/SFP,Ruotsalainen kansanpuolue/ Svenska folkpartiet,Swedish People's Party
1408,14,VIHR,Vihreät De Gröna,Green League
1409,14,SKL; KD,Suomen Kristillinen Liitto; Kristillisdemokraatit,Finish Christian League; Christian Democrats
1411,14,EKA,Eläkeläiset Kansan Asialla,Pensioners for the People
1412,14,REM,Remonttiryhmä,Reform Group
1413,14,KIPU,"Kirjava ""puolue"" - Elonkehän puolesta",Ecological Party
1601,16,V,Vänsterpartiet,Left Party
1602,16,SAP,Arbetarpartiet- Socialdemokraterna,Worker's Party-Social Democrats
1603,16,C,Centerpartiet,Center Party
1604,16,FP,Folkpartiet liberalerna,Liberal People's Party
1605,16,M,Moderaterna,Moderate Party
1606,16,KD,Kristdemokraterna,Christian-Democrats
1607,16,MP,Miljoepartiet de Groena,Environmental Party the Greens
1608,16,NyD,Ny Demokrati,New Democracy
1609,16,JL,Junilistan,June List
1610,16,SD,Sverigedemokraterna,Sweden Deomcrats
1611,16,PIRAT,Piratpartiet,Pirate Party
2001,20,NDSV,Nacionalno Dviženie Simeon Vtori,National Movement Simeon II
