id,country,name
3,1,Kommunistische Partei Österreichs
6,1,Österreichische Volkspartei
8,1,Bündnis Zukunft Österreich
9,1,Die Grünen
10,1,Freiheitliche Partei Österreichs - FPÖ
11,1,Sozialdemokratische Partei Österreichs
21,222333,le Centre démocrate humaniste
22,222333,Mouvement réformateur
23,222333,Parti écologiste francophone de Belgique
24,222333,Parti socialiste
12,222333,Christen-Democratisch & Vlaams
13,222333,Groen!
14,222333,Lijst Dedecker
15,222333,Nieuw-Vlaamse Alliantie
16,222333,Open Vlaamse Liberalen en Democraten
17,222333,Partij van de Arbeid
18,222333,Socialistische Partij Anders
19,222333,Vlaams Belang
20,222333,Sociaal-Liberale Partij
26,4,Bulgarian Socialist Party
27,4,АТАКА
28,4,Democrats for Strong Bulgaria
29,4,GERB
30,4,Movement Ahead
31,4,Movement for Rights and Freedom (MRF)
32,4,National Movement for Simeon II (NMSS)
33,4,Union of Democratic Forces (UDF)
288,5,Christlichdemokratische Volkspartei
289,5,Freisinnig-Demokratische Partei
290,5,Grüne Partei Schweiz
291,5,Sozialdemokratische Partei
292,5,Schweizerische Volkspartei
394,5,Evangelische Volkspartei
49,6,Progressive Party of Working People
50,6,Democratic Party
51,6,Democratic Rally
52,6,European Party
53,6,Cyprus Green Party
54,6,Socialdemocrat Movement EDEK
55,7,Česká strana sociálně demokratická
56,7,Evropská demokratická strana
57,7,Komunistická strana Čech a Moravy
58,7,Křesťanská a demokratická unie – Československá strana lidová
59,7,Občanská demokratická strana
60,7,SNK Evropští demokraté
61,7,Strana zelených
62,7,Unie Svobody–Demokratická unie
63,7,Strana svobodných občanů
115,8,Bündnis 90 / Die Grünen
116,8,Christlich Demokratische Union Deutschlands
117,8,Christlich-Soziale Union
118,8,DIE LINKE
119,8,Freie Demokratische Partei
120,8,Sozialdemokratische Partei Deutschlands
121,8,Freie Wähler
133,8,Die Republikaner
142,8,Newropeans
148,8,Deutsche Volksunion
64,9,Socialdemokraterne
65,9,"Venstre, Danmarks Liberale Parti"
66,9,Det Konservative Folkeparti
67,9,Junibevægelsen
68,9,Det Radikale Venstre
69,9,Dansk Folkeparti
70,9,Socialistisk Folkeparti
72,9,Liberal Alliance
73,9,Folkebevægelsen mod EU
75,10,Eesti Keskerakond
76,10,Eesti Kristlikud Demokraadid
78,10,Eestimaa Rahvaliit
79,10,Eestimaa Rohelised
80,10,Isamaa ja Res Publica Liit
82,10,Reformierakond
83,10,Sotsiaaldemokraatlik Erakond
84,10,Vene Erakond Eestis
417,11,British National Party
418,11,Conservative Party
420,11,Green Party England & Wales
421,11,Labour Party
422,11,Liberal Democrats
423,11,UK Independence Party
269,12,Ciudadanos-Partido de la Ciudadania
270,12,Esquerra Republicana de Catalunya
273,12,Izquierda Unida
274,12,Partido Popular
275,12,Partido Socialista Obrero Español
276,12,Union Progreso y Democracia
356,12,Bloque Nacionalista Galego
357,12,Convergencia i Unio
358,12,Partido Nacionalista Vasco
392,12,Coalicion Canaria
393,12,Iniciativa per Catalunya Verds
85,13,Itsenäisyyspuolue
86,13,Kansallinen Kokoomus
88,13,Köyhien Asialla
89,13,Perussuomalaiset
90,13,Suomen Keskusta
91,13,Suomen Kommunistinen Puolue
92,13,Suomen Kristillisdemokraatit
94,13,Suomen Sosialidemokraattinen Puolue
95,13,Suomen Työväenpuolue
96,13,Svenska Folkpartiet i Finland
97,13,Vasemmistoliitto
98,13,Vihreä liitto
99,14,Nouveau Parti Anticapitaliste
100,14,Parti Ouvrier Independant
101,14,Lutte Ouvrière
102,14,Parti Communiste Français
103,14,Les Verts
104,14,Parti Socialiste
105,14,Mouvement Républicain et Citoyen
106,14,Parti Radical de Gauche
107,14,Mouvement Démocrate
109,14,Chasse Pêche Nature et Traditions
110,14,Union pour une Majorité Populaire
111,14,Mouvement Pour la France
112,14,Alternative Libérale
113,14,Front National
114,14,Mouvement National Républicain
413,14,Newropeans
149,15,Democratic Revival
151,15,Communist Party of Greece
152,15,Popular Orthodox Rally
153,15,New Republic (SW)
154,15,Ecologist Greens
155,15,Panhellenic Socialist Movement (PASOK)
156,15,Coalition of the Radical Left
38,16,Hrvatska demokratska zajednica
39,16,Hrvatska narodna stranka - Liberalni demokrati
40,16,Hrvatska seljačka stranka
41,16,Hrvatska socijalno liberalna stranka
42,16,Hrvatska stranka prava
45,16,Istarski demokratski sabor/Dieta democratica Istriana
47,16,Socijaldemokratska partija Hrvatske
157,17,Fidesz - Magyar Polgári Szövetség
158,17,Jobbik Magyarországért Mozgalom
159,17,Magyar Demokrata Fórum
162,17,Magyar Szocialista Párt
163,17,Szabad Demokraták Szövetsége
166,17,Lehet Más a Politika
167,18,Fianna Fáil
168,18,Fine Gael
169,18,Green Party
170,18,Labour Party
171,18,Libertas
172,18,Sinn Féin
173,18,Socialist Party
175,19,Fiamma Tricolore/La Destra-Movimento per l&#39;Autonomia-Partito Pensionati-Alleanza di Centro
176,19,Italia dei Valori
178,19,Lega Nord
180,19,Partito Democratico
181,19,Partito di Rifondazione Comunista - Partito dei Comunisti Italiani
186,19,Popolo delle Libertà
188,19,Unione Democratica di Centro
371,19,Sinistra e Libertà
199,20,Darbo partija
200,20,Liberalų ir centro sąjunga
202,20,Lietuvos Respublikos liberalų sąjūdis
203,20,Lietuvos socialdemokratų partija
204,20,Lietuvos valstiečių liaudininkų sąjunga
206,20,"Partija ""Frontas"""
207,20,Partija Tvarka ir teisingumas
208,20,Tautos prisikėlimo partija
209,20,Tėvynės sąjunga - Lietuvos krikščionys demokratai
210,21,Chrëschtlech-Sozial Vollékspartei - Christlich-Soziale Volkspartei
