natid,nation,partyid,party,ename,name
1,Belgium,1,PCB,Belgian Communist Party,Parti Communiste Belge
1,Belgium,2,PS,Socialist Party (Wallon),Parti Socialiste
1,Belgium,3,SP,Socialist Party (Flemish),Socialistiche Partij
1,Belgium,4,ECOLO,Ecologists (Wallon),Ecolo
1,Belgium,5,AGALV,Ecologists (Flemish),Agalev
1,Belgium,6,PVV,Liberal Party (Flemish),Vlaamse Liberalen en Demokraten
1,Belgium,7,PRL,Liberal Party (Wallon),Parti Reformateur Liberal
1,Belgium,8,PSC,Christian Social Party,Parti Social Chretien
1,Belgium,9,CVP,Christian Peoples Party,Christelijke Volkspartij
1,Belgium,10,VU,Peoples Union,Volksunie
1,Belgium,11,FDFRW,Francophone Democratic Front,Front Democratique Francophone
1,Belgium,12,VB,Flemish Bloc,Vlaams Bloc
1,Belgium,13,ROSS,Rossem,Rossem
1,Belgium,14,UDRT,Democratic Union for the Respect of Labour (Wal,Union Democratique pour le Respect pour du Trav
1,Belgium,15,RVAD,Democratic Union for the Respect of Labour (Fle,Respect Voor Arbeid en Demokratie
2,Denmark,1,S,Social Democrats,Socialdemokratiet
2,Denmark,2,RV,Radical Party,Radikale Venstre
2,Denmark,3,KF,Conservatives,Konservative Folkparti
2,Denmark,4,CD,Centre Democrats,Centrum Demokraterne
2,Denmark,5,RETS,Justice Party,Retsforbundet
2,Denmark,6,SF,Socialist Peoples Party,Socialistisk Folkparti
2,Denmark,7,GRONN,The Greens,De Gronne
2,Denmark,9,DKP,Danish Communist Party,Danmarks Kommunistiske Parti
2,Denmark,10,FK,Common Course,Faelles Kurs
2,Denmark,11,KRF,Christian Peoples Party,Kristeligt Folkparti
2,Denmark,12,V,Liberals,Venstre
2,Denmark,13,FP,Progress Party,Fremskridtsparteiet
2,Denmark,14,RODGRN,Red/Green Unity List,Rod Gronne Enhedslisten
2,Denmark,15,VS,Left Socialist Party,Venstre Socialisterne
3,Germany,1,CDU,Christian Democratic Union,Christlich  Demokratische Union
3,Germany,2,SPD,Social Democratic Party,Sozialdemokratische Partei Deutschlands
3,Germany,3,FDP,Free Democratic Party,Freie Demokratische Partei
3,Germany,5,GRUN,The Greens,Die Grunen
3,Germany,6,REP,Republican Party,Republikaaner
3,Germany,7,PDS,Party of Democratic Socialism,Partei der Demokratischen Sozialismus
3,Germany,8,KPD,German Communist Party,Deutsche Kommunistische Partei
3,Germany,9,CSU,Christian Social Union,Christlich  Soziale Union
4,Greece,1,PASOK,Pan Hellenic Socialist Movement,Panellenio Sosialistiko Kinema
4,Greece,2,ND,New Democracy,Nea Dimokratia
4,Greece,3,SAP,Left Progressive Alliance/(KKI),Synapismos Aristeras kai tis Proodou/(KKI)
4,Greece,4,KKE,Communist Party of Greece (exterior),Kommounistiko Komma Elladas/(KKE)
4,Greece,5,DIANA,DIANA Democratic Renewal,Demokratike Ananeose
4,Greece,6,IE,Ecologists Alternatives,Ecologi Enallaktiki
4,Greece,7,NAP,New Left Current,Neo Aristero Revma
4,Greece,8,POLAN,Political Spring,Politiki Anixi
4,Greece,9,DKK,Democratic Social Movement,Dimokratico Kinonico Kinime
5,Spain,1,PSOE,Spanish Socialist Workers Party,Partido Socialista Obrero Espanol
5,Spain,2,PP,Popular Party,Partido Popular
5,Spain,3,CDS,Democratic and Social Center,Centro Democratico Social
5,Spain,4,IU,United Left,Izqueirda Unida
5,Spain,5,CIU,Convergence and Union,Convergencia I Unio
5,Spain,6,PNV,Basque Nationalist Party,Partido Nacionalista Vasco
5,Spain,7,EA,Basque Unity,Euzko Alkastasuna
5,Spain,8,HB,United People,Herri Batasuna
5,Spain,9,EE,Basque Left,Eukadiko Eskerra
5,Spain,10,PAR,Aragonese Regionalist Party,Partido Aragones Regionalista
5,Spain,11,ERC,Catalan Republican Left,Esquerra Republicana de Catalunya
5,Spain,12,UV,Valencian Union,Union Valencia
5,Spain,14,BNPG,Galician Nationalist Block,Bloque Nacionalista Popolar Galego
5,Spain,15,VERDE,Green Party,Partido Verde
5,Spain,16,VE,Ecologist Greens,Verdes Ecologistas
5,Spain,17,PA,Andalusian Party,Partido Andalucista
6,France,1,PCF,French Communist Party,Parti Communiste Francais
6,France,2,PS,Socialist Party,Parti Socialiste
6,France,3,MRG,Radical Left Movement,Movement des Radicaux de Gauche
6,France,4,PSU,Unified Socialist Party,Parti Socialiste Unifiee
6,France,5,VERTS,The Greens,Les Verts
6,France,6,UDFPR,Republican Party,UDF Parti Republican
6,France,7,UDFCDS,Social and Democratic Center,UDF Centre Democrat et Social
6,France,8,UDFRAD,Radicals,UDF Radicaux
6,France,9,RPR,Rally for the Republic,Rassemblement pour la Republique
6,France,10,FN,National Front,Front National
6,France,11,GECOLO,Ecology Generation,Generation Ecologie
6,France,12,MPF,Movement for France,Movement pour la France
7,Ireland,1,FF,Warriors of Destiny,Fianna Fail
7,Ireland,2,FG,Tribe of Gaels,Fine Gael
7,Ireland,3,LAB,Labour,Labour
7,Ireland,4,WP,Workers Party,Workers Party
7,Ireland,5,GREEN,Greens,Greens
7,Ireland,6,PDP,Progressive Democratic Party,Progressive Democratic Party
7,Ireland,7,SF,Ourselves,Sinn Fein
