country_name_short,country_name,election_type,election_date,vote_share,seats,seats_total,party_name_short,party_name,party_name_english,left_right,country_id,election_id,previous_parliament_election_id,previous_cabinet_id,party_id
AUS,Australia,parliament,1901-03-30,44.4,32,75,PP,Protectionist Party,Protectionist Party,7.4,33,731,,,1898
AUS,Australia,parliament,1901-03-30,34.2,26,75,FTP,Free Trade Party,Free Trade Party,6.0,33,731,,,1938
AUS,Australia,parliament,1901-03-30,19.4,15,75,ALP,Australian Labor Party,Australian Labor Party,3.8833,33,731,,,1253
AUS,Australia,parliament,1901-03-30,1.4,1,75,none,no party affiliation,no party affiliation,,33,731,,,1396
AUS,Australia,parliament,1901-03-30,0.6,1,75,one-seat,one seat,one seat,,33,731,,,2299
AUS,Australia,parliament,1903-12-16,29.7,26,75,PP,Protectionist Party,Protectionist Party,7.4,33,730,731,997,1898
AUS,Australia,parliament,1903-12-16,34.4,25,75,FTP,Free Trade Party,Free Trade Party,6.0,33,730,731,997,1938
AUS,Australia,parliament,1903-12-16,31.0,23,75,ALP,Australian Labor Party,Australian Labor Party,3.8833,33,730,731,997,1253
AUS,Australia,parliament,1903-12-16,0.5,1,75,one-seat,one seat,one seat,,33,730,731,997,2299
AUS,Australia,parliament,1903-12-16,4.5,0,75,none,no party affiliation,no party affiliation,,33,730,731,997,1396
AUS,Australia,parliament,1906-12-02,38.2,27,75,FTP,Free Trade Party,Free Trade Party,6.0,33,725,730,1000,1938
AUS,Australia,parliament,1906-12-02,36.6,26,75,ALP,Australian Labor Party,Australian Labor Party,3.8833,33,725,730,1000,1253
AUS,Australia,parliament,1906-12-02,16.4,16,75,PP,Protectionist Party,Protectionist Party,7.4,33,725,730,1000,1898
AUS,Australia,parliament,1906-12-02,4.8,4,75,IPP-V,Independent Protectionist Party (Vic),Independent Protectionist Party (Vic),7.4,33,725,730,1000,1917
AUS,Australia,parliament,1906-12-02,2.3,2,75,WAP,Western Australian Party,Western Australian Party,6.0,33,725,730,1000,1906
AUS,Australia,parliament,1906-12-02,1.2,0,75,none,no party affiliation,no party affiliation,,33,725,730,1000,1396
AUS,Australia,parliament,1910-04-13,50.0,43,75,ALP,Australian Labor Party,Australian Labor Party,3.8833,33,747,725,1002,1253
AUS,Australia,parliament,1910-04-13,45.1,31,75,CLP,Commonwealth Liberal Party,Commonwealth Liberal Party,7.4,33,747,725,1002,2285
AUS,Australia,parliament,1910-04-13,4.5,1,75,none,no party affiliation,no party affiliation,,33,747,725,1002,1396
AUS,Australia,parliament,1910-04-13,0.4,0,75,no-seat,no seat,no seat,,33,747,725,1002,2057
AUS,Australia,parliament,1913-05-31,48.9,38,75,CLP,Commonwealth Liberal Party,Commonwealth Liberal Party,7.4,33,748,747,1003,2285
AUS,Australia,parliament,1913-05-31,48.5,37,75,ALP,Australian Labor Party,Australian Labor Party,3.8833,33,748,747,1003,1253
