country_name_short,country_name,party_name_short,party_name_english,party_name,party_name_ascii,family_name_short,family_name,left_right,state_market,liberty_authority,eu_anti_pro,cmp,euprofiler,ees,castles_mair,huber_inglehart,ray,benoit_laver,chess,country_id,party_id,family_id
AUS,Australia,ACP-V,Australian Country Party (Vic),Australian Country Party (Vic),Australian Country Party (Vic),con,Conservative,7.4,6.4,7.0,,,,,,,,,,33,1935,26
AUS,Australia,AD,Australian Democrats,Australian Democrats,Australian Democrats,soc,Social democracy,3.7004,3.3684,1.1579,,63321,,,102,203,,4703,,33,120,11
AUS,Australia,AG,Australian Greens,Australian Greens,Australian Greens,eco,Green/Ecologist,1.5439,1.2982,0.5614,,,,,,,,4739,,33,751,19
AUS,Australia,ALP,Australian Labor Party,Australian Labor Party,Australian Labor Party,soc,Social democracy,3.8833,4.0351,3.2632,,63320,,,101,,,4721,,33,1253,11
AUS,Australia,AP,Australia Party,Australia Party,Australia Party,lib,Liberal,6.0,6.7,3.6,,,,,,,,,,33,1760,6
AUS,Australia,C,Coalition,Coalition,Coalition,con,Conservative,7.4,6.4,7.0,,,,,,,,,,33,1428,26
AUS,Australia,CDP,Christian Democratic Party,Christian Democratic Party,Christian Democratic Party,chr,Christian democracy,6.2,5.7,7.1,,,,,,,,,,33,1650,3
AUS,Australia,CLP,Commonwealth Liberal Party,Commonwealth Liberal Party,Commonwealth Liberal Party,con,Conservative,7.4,6.4,7.0,,,,,,,,,,33,2285,26
AUS,Australia,CN-QLD,Country-National Party (Qld),Country-National Party (Qld),Country-National Party (Qld),con,Conservative,7.4,6.4,7.0,,,,,,,,,,33,1933,26
AUS,Australia,CPA,Communist Party of Australia,Communist Party of Australia,Communist Party of Australia,com,Communist/Socialist,1.3,1.4,3.0,,,,,,,,,,33,1922,14
AUS,Australia,CPP-V,Country Progressive Party (Vic),Country Progressive Party (Vic),Country Progressive Party (Vic),con,Conservative,7.4,6.4,7.0,,,,,,,,,,33,1914,26
AUS,Australia,CouLP,Country Liberal Party,Country Liberal Party,Country Liberal Party,lib,Liberal,6.0,6.7,3.6,,,,,,,,,,33,215,6
AUS,Australia,DLP,Democratic Labour Party,Democratic Labour Party,Democratic Labour Party,soc,Social democracy,4.1667,3.5,3.5,,63330,,,,204,,,,33,1306,11
AUS,Australia,EC-SA,Emergency Committee (SA),Emergency Committee (SA),Emergency Committee (SA),lib,Liberal,6.0,6.7,3.6,,,,,,,,,,33,1904,6
AUS,Australia,FFP,Family First Party,Family First Party,Family First Party,con,Conservative,7.4,6.4,7.0,,,,,,,,,,33,446,26
