party_id,left_right,state_market,liberty_authority,eu_anti_pro,calculation_date
2,7.4,6.4,6.9,7.9,2022-04-29 20:33:46
3,6.2,5.7,7.1,8.3,2022-04-29 20:33:46
4,7.4,6.4,6.9,,2022-04-29 20:33:46
5,4.7622,4.7538,6.2779,8.2028,2022-04-29 20:33:46
6,9.3421,6.5789,7.1053,,2022-04-29 20:33:46
11,1.3,1.4,3.0,3.3,2022-04-29 20:33:46
15,6.86,6.29,6.33,7.7833,2022-04-29 20:33:46
16,6.6953,5.0282,7.6299,6.8549,2022-04-29 20:33:46
17,,,,,2022-04-29 20:33:46
18,3.3,3.5,3.5,8.1,2022-04-29 20:33:46
19,,,,,2022-04-29 20:33:46
20,8.5,3.75,8.62,3.45,2022-04-29 20:33:46
21,2.5,2.5,1.8,6.5,2022-04-29 20:33:46
25,,,,,2022-04-29 20:33:46
26,6.3249,8.0105,3.4159,6.4439,2022-04-29 20:33:46
27,1.3,1.4,3.0,0.0,2022-04-29 20:33:46
28,3.865,3.9,7.325,7.4667,2022-04-29 20:33:46
29,8.8,5.9,8.5,2.3,2022-04-29 20:33:46
30,,,,,2022-04-29 20:33:46
31,,,,,2022-04-29 20:33:46
32,1.864,2.1751,5.2767,5.7675,2022-04-29 20:33:46
35,1.8319,1.7579,1.2281,9.0614,2022-04-29 20:33:46
41,7.4,6.4,6.9,7.9,2022-04-29 20:33:46
42,,,,,2022-04-29 20:33:46
44,0.5275,0.937,4.5302,3.5075,2022-04-29 20:33:46
47,6.7365,6.9754,6.6712,8.9869,2022-04-29 20:33:46
50,8.3494,6.3291,8.5149,1.9815,2022-04-29 20:33:46
52,6.2,5.7,7.1,8.3,2022-04-29 20:33:46
53,1.3,1.4,3.0,,2022-04-29 20:33:46
55,3.3,3.5,3.5,8.1,2022-04-29 20:33:46
57,7.85,7.83,4.5,8.9667,2022-04-29 20:33:46
58,,,,,2022-04-29 20:33:46
59,7.0577,7.7993,6.1743,8.246,2022-04-29 20:33:46
61,6.0,6.7,3.6,,2022-04-29 20:33:46
62,6.2,5.7,7.1,8.3,2022-04-29 20:33:46
63,6.0,6.7,3.6,8.7,2022-04-29 20:33:46
64,3.0526,2.5965,1.7544,8.1754,2022-04-29 20:33:46
65,,,,,2022-04-29 20:33:46
66,,,,,2022-04-29 20:33:46
67,7.4,6.4,6.9,7.9,2022-04-29 20:33:46
73,,,,,2022-04-29 20:33:46
74,3.3,3.5,3.5,8.1,2022-04-29 20:33:46
77,3.3,3.5,3.5,8.1,2022-04-29 20:33:46
81,1.5839,1.3534,1.5038,1.1568,2022-04-29 20:33:46
82,,,,7.5,2022-04-29 20:33:46
86,3.3,3.5,3.5,,2022-04-29 20:33:46
87,7.4,6.4,6.9,7.9,2022-04-29 20:33:46
90,3.7719,6.7544,3.2456,8.6842,2022-04-29 20:33:46
92,7.4,6.4,6.9,7.9,2022-04-29 20:33:46
93,4.9704,5.8,5.1667,9.0278,2022-04-29 20:33:46
94,5.8027,4.9349,7.2203,5.5267,2022-04-29 20:33:46
95,9.6065,3.807,9.5894,0.9358,2022-04-29 20:33:46
99,5.9067,5.1167,7.5833,8.5,2022-04-29 20:33:46
104,3.3706,2.9574,2.7105,8.2933,2022-04-29 20:33:46
106,7.4,6.4,6.9,,2022-04-29 20:33:46
107,7.4,6.4,6.9,5.0,2022-04-29 20:33:46
108,3.3,3.5,3.5,8.1,2022-04-29 20:33:46
109,,,,,2022-04-29 20:33:46
110,8.8,5.9,8.5,2.3,2022-04-29 20:33:46
112,,,,,2022-04-29 20:33:46
113,7.8969,8.6246,5.2737,8.5715,2022-04-29 20:33:46
114,,,,,2022-04-29 20:33:46
118,2.0183,1.8937,1.7351,5.2186,2022-04-29 20:33:46
119,6.2,5.7,7.1,8.3,2022-04-29 20:33:46
120,3.7004,3.3684,1.1579,,2022-04-29 20:33:46
121,,,,,2022-04-29 20:33:46
123,,,,,2022-04-29 20:33:46
128,6.1667,5.145,7.7583,7.4426,2022-04-29 20:33:46
131,7.3591,7.4401,5.0433,9.3905,2022-04-29 20:33:46
133,,,,,2022-04-29 20:33:46
134,,,,,2022-04-29 20:33:46
135,7.1,6.7,3.6,8.7,2022-04-29 20:33:46
137,6.2,5.7,7.1,8.3,2022-04-29 20:33:46
138,7.4997,6.5934,7.1854,6.9862,2022-04-29 20:33:46
139,7.4,6.4,6.9,7.9,2022-04-29 20:33:46
141,1.6886,1.7263,1.0316,6.507,2022-04-29 20:33:46
142,4.6267,4.105,5.8567,9.0778,2022-04-29 20:33:46
143,3.3,3.5,3.5,8.1,2022-04-29 20:33:46
147,2.2222,2.5,1.8,,2022-04-29 20:33:46
148,5.7895,5.2632,6.9,2.6316,2022-04-29 20:33:46
151,1.3,1.4,3.0,,2022-04-29 20:33:46
152,,,,,2022-04-29 20:33:46
154,6.0,6.7,3.6,,2022-04-29 20:33:46
156,3.3,3.5,3.5,8.1,2022-04-29 20:33:46
161,2.641,2.3887,1.3744,7.5411,2022-04-29 20:33:46
163,3.3,3.5,3.5,,2022-04-29 20:33:46
167,2.5,3.5,3.5,8.1,2022-04-29 20:33:46
170,7.4,6.4,6.9,,2022-04-29 20:33:46
171,9.655,8.0831,9.1382,1.5539,2022-04-29 20:33:46
176,9.5762,4.0871,9.4093,1.8252,2022-04-29 20:33:46
177,3.3,3.5,3.5,8.1,2022-04-29 20:33:46
179,6.9996,5.6339,6.7947,8.804,2022-04-29 20:33:46
180,2.6486,2.6316,2.1902,9.1283,2022-04-29 20:33:46
181,8.8,5.9,8.5,2.3,2022-04-29 20:33:46
184,7.8222,6.2456,8.4561,,2022-04-29 20:33:46
187,8.8,5.9,8.5,2.3,2022-04-29 20:33:46
188,6.0,6.7,3.6,,2022-04-29 20:33:46
189,0.8,1.4,3.0,0.7333,2022-04-29 20:33:46
191,3.2687,3.7152,5.8514,5.2909,2022-04-29 20:33:46
196,4.123,3.8917,1.8596,7.8505,2022-04-29 20:33:46
198,,,,,2022-04-29 20:33:46
199,,,,,2022-04-29 20:33:46
200,6.6331,4.8745,7.999,1.0945,2022-04-29 20:33:46
202,,,,,2022-04-29 20:33:46
203,8.8,5.9,8.5,2.3,2022-04-29 20:33:46
205,3.3,3.5,3.5,,2022-04-29 20:33:46
207,3.997,2.008,7.3253,2.1473,2022-04-29 20:33:46
209,9.4097,8.5714,9.25,1.312,2022-04-29 20:33:46
210,1.1842,1.4474,1.6667,,2022-04-29 20:33:46
211,4.8736,5.318,2.3903,7.8594,2022-04-29 20:33:46
212,8.2963,6.0,8.5455,3.5447,2022-04-29 20:33:46
213,5.8695,5.9852,5.4033,8.9659,2022-04-29 20:33:46
214,8.6207,3.9035,9.3466,,2022-04-29 20:33:46
215,6.0,6.7,3.6,,2022-04-29 20:33:46
217,7.4,6.4,6.9,,2022-04-29 20:33:46
219,2.5,2.5,1.8,6.5,2022-04-29 20:33:46
220,3.3799,3.5124,3.6548,7.1697,2022-04-29 20:33:46
221,6.0,6.7,3.6,8.7,2022-04-29 20:33:46
224,1.3,1.4,3.0,5.0,2022-04-29 20:33:46
226,6.1092,5.1181,7.8038,7.128,2022-04-29 20:33:46
228,4.4444,3.5,3.5,,2022-04-29 20:33:46
229,1.3,1.4,3.0,0.55,2022-04-29 20:33:46
234,5.9789,5.9,5.7694,8.0278,2022-04-29 20:33:46
235,5.9376,5.8848,6.6882,7.7157,2022-04-29 20:33:46
238,6.2,5.7,7.1,8.3,2022-04-29 20:33:46
239,6.2,5.7,7.1,8.3,2022-04-29 20:33:46
240,8.8,5.9,8.5,2.3,2022-04-29 20:33:46
242,4.6206,3.915,2.99,8.8222,2022-04-29 20:33:46
243,7.4,6.4,6.9,7.9,2022-04-29 20:33:46
244,3.3,3.5,3.5,,2022-04-29 20:33:46
247,6.0,6.7,3.6,,2022-04-29 20:33:46
248,,,,,2022-04-29 20:33:46
249,7.4,6.4,6.9,,2022-04-29 20:33:46
251,8.0222,8.1963,8.9916,4.3909,2022-04-29 20:33:46
252,3.3,3.5,3.5,8.1,2022-04-29 20:33:46
254,3.3,3.5,3.5,8.1,2022-04-29 20:33:46
255,2.5,2.5,1.8,6.5,2022-04-29 20:33:46
256,1.3,1.4,3.0,3.3,2022-04-29 20:33:46
257,3.3,3.5,3.5,8.1,2022-04-29 20:33:46
259,7.8,7.25,7.875,2.2222,2022-04-29 20:33:46
260,1.3,1.4,3.0,1.95,2022-04-29 20:33:46
265,,,,,2022-04-29 20:33:46
267,8.8,5.9,8.5,2.3,2022-04-29 20:33:46
270,9.6854,7.4011,9.2889,0.2157,2022-04-29 20:33:46
272,,,,,2022-04-29 20:33:46
275,8.8,5.9,8.5,2.3,2022-04-29 20:33:46
276,7.1053,5.7018,6.9298,7.1053,2022-04-29 20:33:46
277,6.0,6.7,3.6,,2022-04-29 20:33:46
278,6.0,6.7,3.6,8.7,2022-04-29 20:33:46
279,6.0,6.7,3.6,,2022-04-29 20:33:46
280,6.0713,5.8991,6.9898,7.8389,2022-04-29 20:33:46
281,1.3,1.4,3.0,3.3,2022-04-29 20:33:46
282,7.195,6.7938,7.9997,7.8597,2022-04-29 20:33:46
285,7.6583,9.0,9.0,5.8333,2022-04-29 20:33:46
288,,,,,2022-04-29 20:33:46
290,6.5321,5.8809,6.06,6.4243,2022-04-29 20:33:46
292,,,,,2022-04-29 20:33:46
296,2.46,1.9195,1.1134,,2022-04-29 20:33:46
300,5.8067,5.6933,6.7724,8.2894,2022-04-29 20:33:46
301,,,,,2022-04-29 20:33:46
303,3.3,3.5,3.5,,2022-04-29 20:33:46
305,3.3,3.5,3.5,,2022-04-29 20:33:46
306,0.8912,1.2012,1.7524,0.9971,2022-04-29 20:33:46
307,1.3,1.4,3.0,3.3,2022-04-29 20:33:46
308,2.5,2.5,1.8,6.5,2022-04-29 20:33:46
309,1.25,2.1093,5.5837,4.8684,2022-04-29 20:33:46
310,2.5,1.5789,0.7895,,2022-04-29 20:33:46
311,3.1183,2.6251,3.7107,7.8314,2022-04-29 20:33:46
313,7.19,7.77,4.02,9.225,2022-04-29 20:33:46
316,9.386,3.1579,7.6842,1.8421,2022-04-29 20:33:46
317,1.3,1.4,3.0,3.3,2022-04-29 20:33:46
318,3.6252,3.353,3.1071,7.1292,2022-04-29 20:33:46
319,7.4,6.4,6.9,7.9,2022-04-29 20:33:46
321,,,,,2022-04-29 20:33:46
322,8.8,5.9,8.5,2.3,2022-04-29 20:33:46
323,8.8,5.9,8.5,2.3,2022-04-29 20:33:46
325,2.5,2.5,1.8,6.5,2022-04-29 20:33:46
326,3.3,3.5,3.5,8.1,2022-04-29 20:33:46
329,3.8377,2.8138,5.2851,5.7263,2022-04-29 20:33:46
332,3.3,3.5,3.5,8.1,2022-04-29 20:33:46
334,6.2,5.7,7.1,8.3,2022-04-29 20:33:46
335,4.2,3.6667,6.25,7.0833,2022-04-29 20:33:46
336,6.0,6.7,3.6,8.7,2022-04-29 20:33:46
339,,,,,2022-04-29 20:33:46
341,3.3,3.5,3.5,8.3333,2022-04-29 20:33:46
342,1.6,2.5,1.8,5.0,2022-04-29 20:33:46
