id,cabinet_id,party_id,pm,data_source,description,comment
1,632,1253,1,,,
2,574,1253,1,,,
3,490,1253,1,,,
4,450,1411,1,,,
5,450,184,0,,,
6,566,1411,1,,,
7,566,184,0,,,
8,479,1411,1,,,
9,479,184,0,,,
10,627,1411,1,,,
11,627,184,0,,,
12,786,1411,1,,,
13,786,184,0,,,
14,261,1411,1,,,
15,261,184,0,,,
16,67,1411,1,,,
17,67,184,0,,,
18,634,1411,0,,,
19,634,184,1,,,
20,1,1411,1,,,
21,1,184,0,,,
22,795,1411,1,,,
23,795,184,0,,,
24,671,1411,1,,,
25,671,184,0,,,
26,507,1253,1,,,
27,844,1253,1,,,
28,720,1411,1,,,
29,720,184,0,,,
30,836,1411,1,,,
31,836,184,0,,,
32,421,1411,1,,,
33,421,184,0,,,
34,774,1411,1,,,
35,774,184,0,,,
36,576,1253,1,,,
37,401,1253,1,,,
38,875,1253,1,,,
39,155,1253,1,,,
40,725,1253,1,,,
41,49,1253,1,,,
42,402,1411,1,,,
43,402,184,0,,,
44,423,1411,1,,,
45,423,184,0,,,
46,812,1411,1,,,
47,812,184,0,,,
48,452,769,0,bka,,
49,452,973,0,bka,,
50,452,1013,1,bka,,
51,775,973,0,nyt,,
52,775,1013,1,nyt,,
53,560,973,0,bka,,
54,560,1013,1,bka,,
55,659,973,0,faz,,
56,659,1013,1,faz,,
57,105,973,0,mueller,,
58,105,1013,1,mueller,,
59,114,973,0,mueller,,
60,114,1013,1,mueller,,
61,757,973,0,nyt,,
62,757,1013,1,nyt,,
63,533,973,0,mueller,,
64,533,1013,1,mueller,,
65,622,973,0,mueller,,
66,622,1013,1,mueller,,
67,483,973,0,bka,,
68,483,1013,1,bka,,
69,561,1013,1,mueller,,
70,354,973,1,nyt,,
71,365,973,1,mueller,,
72,350,973,1,mueller,,
73,702,973,1,mueller,,
74,702,50,0,mueller,,
75,828,973,1,mueller,,
76,828,50,0,mueller,,
77,873,973,1,mueller,,
78,873,1013,0,mueller,,
79,524,973,1,reuters,,
80,524,1013,0,reuters,,
81,294,973,1,mueller,,
82,294,1013,0,mueller,,
83,323,973,1,bka,,
84,323,1013,0,bka,,
85,412,973,1,bka,,
86,412,1013,0,bka,,
87,722,50,0,afp,Freedom Party (FPO) ministers resigned on 8 September 2002 following conflict with the party leader over the governments tax policy.,
88,722,1013,1,afp,,
89,257,50,0,"afp, bka",Freedom Party (FPO) ministers joined Future of Austria (BZO) on 4 April 2005 and the parliamentary group split into FPO and BZO members remaining formally one group in parliament.,
90,257,1013,1,"afp, bka",,
91,593,708,0,,Communist Party (KPB-PCB) ministers withdrew from provisional cabinet.,
92,593,167,0,,,
93,593,63,0,,,
94,593,1051,1,,,
95,29,167,0,,,
96,29,63,0,,,
97,29,1051,1,,,
98,808,708,0,,,
99,808,167,1,,,
100,808,63,0,,,
101,808,1051,0,,,
102,204,708,0,,,
103,204,167,1,,,
104,204,63,0,,,
105,168,167,1,,,
106,489,708,0,,,
107,489,167,1,,,
108,489,63,0,,,
109,540,708,0,,,
110,540,167,1,,,
111,540,63,0,,,
112,496,167,1,,,
113,496,1051,0,,,
114,40,167,1,,,
115,40,1051,0,,,
116,746,63,0,nyt,Liberal Party (LP-PL) resigned over the return of King Leopold.,
117,746,1051,1,,,
118,695,1051,1,,,
119,700,1051,1,,,
120,389,1051,1,,,
121,745,167,1,,,
122,745,63,0,,,
123,112,1051,1,,,
124,144,63,0,nyt,Liberals (LP-PL) resigned on 17 February 1961 following disagreement on tax policies but the request was not accepted by the king.,
125,144,1051,1,,,
128,613,167,0,,,
129,613,1051,1,,,
130,311,167,0,,,
131,311,1051,1,,,
132,353,63,0,,,
133,353,1051,1,,,
134,586,167,0,,,
135,586,723,1,,,
136,586,1192,0,,,
137,448,167,0,,,
138,448,723,1,,,
139,448,1192,0,,,
140,859,167,1,,,
141,859,1110,0,,,
142,859,454,0,,,
143,859,723,0,,,
144,859,1192,0,,,
155,677,1110,0,,,
156,677,454,0,,,
157,677,723,1,,,
158,677,1192,0,,,
159,847,1110,0,,,
160,847,454,0,,,
161,847,723,1,,,
162,847,1192,0,,,
163,847,460,0,,,
169,451,1110,0,,,
170,451,454,0,,,
171,451,723,1,,,
172,451,1192,0,,,
173,225,167,0,,,
174,225,723,1,,,
175,225,1192,0,,,
176,225,290,0,,,
177,225,969,0,,,
178,233,167,0,,,
179,233,723,0,,,
180,233,1192,1,,,
181,233,290,0,,,
182,233,969,0,,,
183,521,1029,0,,,
184,521,1378,0,,,
185,521,723,1,,,
186,521,1192,0,,,
187,521,969,0,"mueller, nyt","Democratic Front (FDF) ministers resigned on 16 January 1980, following conflict over regionalisation,",
188,278,1029,0,,,
189,278,1378,0,,,
190,266,1110,0,mueller,,
191,266,454,0,mueller,,
192,278,723,1,,,
193,278,1192,0,,,
194,266,1029,0,,,
195,266,1378,0,,,
196,266,723,1,,,
197,266,1192,0,,,
198,429,1029,0,,,
199,429,1378,0,,,
200,429,723,1,,,
201,429,1192,0,,,
202,724,1110,0,,,
203,724,454,0,,,
204,724,723,1,,,
205,724,1192,0,,,
206,375,1110,0,,,
207,375,454,0,,,
208,375,723,1,,,
209,375,1192,0,,,
210,92,1110,0,,,
211,92,454,0,,,
212,92,723,1,,,
213,92,1192,0,,,
214,457,1029,0,,,
215,457,1378,0,,,
216,457,723,1,,,
217,457,1192,0,,,
218,457,290,0,reuters,People's Union (VU) ministers withdrew from cabinet on 29 September 1991 over a dispute on arms trade.,
219,570,1029,0,,,
220,570,1378,0,,,
221,570,723,1,,,
222,570,1192,0,,,
223,624,1029,0,,,
224,624,1378,0,,,
225,624,723,1,,,
226,624,1192,0,,,
