id,election_id,party_id,alliance_id,seats,vote_share,votes,data_source,description,comment
1,34,1393,,4,24.27,276095,eed,,
2,140,281,,0,1.11,36294,cne,,
3,15,94,,48,22.4,600592,tila,,
4,373,886,,3,1.4,14270,bafs,,
6,604,1030,,4,0.56,204899,archivio,,
7,412,1461,,27,7.7,425153,,,
8,80,16,,7,6.82,66032,voltive,,
9,130,113,,1,12.2,28377,vvk,,
12,108,602,,2,1.6,15690,bafs,,
13,512,1154,,25,7.34,437435,val,,
14,467,487,,19,3.8,1003727,archivio,Electoral alliance: National Bloc (Blocco Nazionale),
16,427,1167,,2,1.0,18878,bafs,,
17,204,625,,1,0.86,59156,verk,,
18,412,904,,161,45.3,2513905,,,
19,107,1321,530,41,5.69,2229464,ejpr,,
20,644,708,,12,7.5,376765,ibz,,
21,213,412,,0,0.8,16383,folketing,,
22,357,885,7683,21,3.8,914397,mackie,,
25,375,1539,7676,44,15.5,3171459,mackie,,
26,257,1426,,93,21.4,1050799,essex,,
27,314,395,,45,21.4,594194,tila,,
28,519,339,,2,7.33,349156,verk,,
29,214,58,,6,,,vrk,,
30,81,345,,17,11.06,961121,verk,,
31,326,910,,3,3.2,1055797,archivio,,
32,14,281,,0,0.81,24022,cne,,
34,595,558,,252,36.4,17140354,bwl,,
35,582,689,,5,0.6,171942,bbc,,
36,658,1003,,16,33.85,50974,md,,
37,531,1478,,0,1.3,37407,folketing,,
38,354,200,,0,2.2,49773,tila,,
39,164,118,,5,5.04,1284081,epp,,
41,48,1154,,0,1.5,83645,yb-swe,,
42,613,47,,9,32.7,2133372,ejpr,,
43,145,1518,,2,19.71,113593,cvk,,
44,335,756,,8,5.14,495802,verk,,
45,318,1360,,9,13.9,13403,hagstofa,,
46,118,772,,51,8.1,3838326,bwl,,
47,21,1167,,5,2.7,25659,bafs,,
48,46,651,,1,11.9,194059,ep,,
50,545,1051,,95,41.1,2123408,ibz,,
52,582,1284,,6,1.7,491386,bbc,,
53,508,1441,,21,11.0,734611,no-2010,,
55,17,242,,17,3.0,1140209,archivio,,
56,605,910,,16,2.8,1093037,archivio,,
57,44,645,,28,40.59,7453900,epp,,
59,118,808,5572,180,27.8,13136740,,,
60,507,421,,14,2.6,776919,archivio,,
61,338,1619,,0,1.76,18853,voltive,,
62,527,585,,12,5.3,152597,tila,,
63,409,2058,,0,0.9,26889,folketing,Pensioners Party (Pensionistpartiet),
64,687,1361,,7,1.55,353953,epp,,
65,385,772,,55,8.6,4110355,bwl,,
66,566,1045,,70,31.34,409585,vrk,,
68,507,1633,,273,42.4,12520207,archivio,,
69,128,1644,,1,9.2,183580,yb-dnk,,
70,252,118,,18,9.63,2253722,epp,,
71,519,742,,7,23.6,1124549,verk,,
72,88,1319,,7,16.0,12422,gud97,,
73,116,275,,1,0.83,68423,verk,,
74,146,397,5220,4,,,ejpr,,
75,333,1540,,38,10.49,5496828,parline,,
76,568,319,2691,1,,,ark,,
78,64,1239,,6,3.6,110715,folketing,,
79,59,652,,1,,,vrk,Moderniųjų krikščionių demokratų sąjunga (Modern Christian-Democratic Union),
80,407,1414,7677,32,11.5,2111167,mackie,,
81,8,1003,,28,50.84,85448,md,,
82,54,892,,2,,,w,,
83,46,1393,,4,21.6,353094,ep,,
84,435,141,,1,0.63,11583,bafs,,
85,676,888,,0,1.4,71001,ejpr,,
86,420,708,,2,2.72,151421,cevipol,,
87,413,318,,16,11.65,136111,gall-09,,
88,631,458,,8,2.8,55326,bafs,,
90,91,677,,14,4.44,361045,pica,,
91,458,1424,,1,1.44,506753,archivio,,
92,668,1629,,3,16.5,324256,yb-dnk,,
93,280,242,,2,2.72,945383,archivio,,
95,190,651,,2,2.73,56396,eie,,
96,507,2302,,1,0.59,173227,archivio,,
97,142,1118,,20,10.4,121619,tila,,
99,254,1361,,6,1.54,309610,epp,,
100,204,1452,,4,2.87,197216,verk,,
101,514,1556,,271,34.9,11560484,,,
102,97,538,,0,1.6,44994,folketing,,
103,585,1317,,1,1.47,306923,epp,,
104,126,982,4847,,,,"es, essex",,
105,49,1601,3505,10,,,essex,,
107,478,1538,,9,8.36,147068,yb-nor,,
108,687,118,,8,5.54,1263043,epp,,
110,435,564,,1,0.6,11587,bafs,,
111,565,512,,65,12.7,1651099,pkw,,
112,146,366,2883,6,,,archivio,,
113,268,108,,0,4.9,676334,pkw,,
114,97,1478,,4,2.5,69180,folketing,,
116,145,466,,0,4.25,24467,cvk,,
