id,table_id,column_number,name,type,comment_entry,incomplete,description,comment
1,19,24,old_countryID,integer,0,0,Previous country ID used versions prior to ParlGov 10/11 -- three digit iso code,
3,19,5,eu_accession_date,date,0,0,date of EU accession for EU members -- empty for non-members,
4,8,2,election_id,integer,0,0,ParlGov unique identifier for national and EP elections. Variable name 'id' in 'election' table and 'election_id' in all other tables.,
5,8,3,party_id,integer,0,0,ParlGov unique party identifier. Variable name 'id' in 'party' table and 'party_id' in all other tables.,
7,8,6,seats,integer,0,0,number of seats won by party,Seats coded for alliance members if information available. Coded as 0 for parties that won no seats and as missing value for electoral alliances if seats are coded at the level of alliance members.
8,8,7,vote_share,real,0,0,percentage of votes for a party,
9,8,8,votes,integer,0,1,number of votes,Information for this table is not systematically coded for all countries. Please refer to wiki.parlgov.org to get further information about the detail of country codings.
10,8,11,data_source,text,0,0,"short list of data sources used to code this variable -- references, except urls, are entries in table 'info_data_source'",
11,35,20,old_countryID,integer,0,0,Previous country ID used versions prior to ParlGov 10/11 -- three digit iso code,
12,35,21,old_parlID,integer,0,0,Previous election ID used versions prior to ParlGov 10/11 -- five digit number composed of the year the election took place and an ascending digit,
13,35,4,date,date,0,0,"Date the election took place. If the election lasted for several days, we code the last date.",
14,35,9,seats_total,integer,0,0,total number of seats,
15,35,12,votes_valid,integer,0,0,number of valid votes for parties and candidates -- not including blank votes,Based on the number of 'votes_cast' and 'electorate'. For electoral systems with multiple votes cast by each voter a 'data_json' entry 'valid_votes' records the sum of all valid (multiple) votes.
16,35,11,votes_cast,integer,0,0,number of votes cast in an election -- including invalid and blank votes ,
17,35,10,electorate,integer,0,0,number citizens eligible to vote,
18,35,15,comment,text,0,0,additional information about the coding of this observation,
19,29,2,country_id,integer,0,0,ParlGov unique identifier for each country. Variable name 'id' in 'country' table and 'country_id' in all other tables.,
20,29,30,old_partyID,integer,0,0,Previous party ID used versions prior to ParlGov 10/11 -- a unique number for every party in a country. IDs start at 10 and have no particular order. 990 -- no party affiliation (independent); 995 -- others; 999 -- to be coded,
21,29,3,family_id,integer,0,0,ParlGov unique party family identifier -- see table 'info_id' for a description,
22,29,4,name_short,text,0,0,party abbreviation (original name),
23,29,5,name_english,text,0,0,English name of party,
24,29,7,name_ascii,text,0,0,original name of party without special characters  (this one may be easier to handle with in statistical packages),
25,29,6,name,text,0,0,original name of party with native characters (this field may require a change of character encodings on your local computer),
26,29,9,wikipedia,url,0,0,link to wikipedia entry or other url if no wikipedia entry exists,
27,29,14,comment,text,0,0,additional information about the coding of this observation,
28,29,16,cmp,integer,0,0,Comparative Manifestos Project (CMP) party ID (Budge ea. 2001; Klingemann ea. 2006),
29,29,20,castles_mair,integer,0,0,Castles/Mair (1983) expert survey party ID --  combined from number of country and number of party entry in data table (pp. 75--83),
31,29,21,huber_inglehart,integer,0,0,Huber/Inglehart (1995) expert survey party ID -- combined from number of country and number of party entry in Appendix 2 (pp. 92--108),
32,29,26,chess,integer,0,0,Chapel Hill expert survey series (CHESS) party ID (Hooghe ea. 2010; Marks/Steenbergen 2007),
33,29,24,benoit_laver,integer,0,0,Benoit/Laver (2006) expert survey party ID -- row number of first party entry in original data set,
34,12,2,country_id,integer,0,0,ParlGov unique identifier for each country. Variable name 'id' in 'country' table and 'country_id' in all other tables.,
35,12,19,old_cabID,integer,0,0,Previous cabinet ID used versions prior to ParlGov 10/11 -- Five digit number is composed of the year the cabinet came into office and an ascending digit for the number of the cabinet in that year starting with zero.,
36,12,8,name,text,0,0,label/name of cabinet consisting of the family name of the prime minister and a roman numeral if he/she headed more than one cabinet (ascii characters only),
37,12,13,comment,text,0,0,additional information about the coding of this observation,
38,12,10,wikipedia,url,0,0,link to wikipedia entry or other url if no wikipedia entry exists,
39,20,3,commission_year,integer,0,0,year Commission formed,
40,20,2,country_id,integer,0,0,ParlGov unique identifier for each country. Other tables refer to this variable as 'country_id'.,
41,20,5,person_id,integer,0,0,ParlGov unique person identifier. Other tables refer to this variable as 'person_id'.,
42,20,6,person_id_source,text,0,0,textual string with the person name in the data source of the observation,
43,20,7,start_date,date,0,0,Commissioner entered Commission,
44,20,8,end_date,date,0,0,Commissioner left Commission,
45,20,9,incumbent,binary,0,0,member of previous Commission,
46,20,10,one_seat,binary,0,0,one seat in Commission,
47,20,11,party_id,integer,0,0,ParlGov unique party identifier. Variable name 'id' in 'party' table and 'party_id' in all other tables.,
49,20,13,government_party,category,0,0,party affiliation at appointment,"10 government, 11 opposition, 12 other"
50,20,15,portfolio,text,0,0,Commission portfolio,
51,20,16,elected,binary,0,0,career with political position before,
52,20,17,score_position,real,0,0,score for highest position,
53,20,18,highest_position,text,0,0,highest former position,
54,20,14,president,binary,0,0,president of Commission,
55,20,20,comment,text,0,0,additional information about the coding of this observation,
57,50,3,minister_cabinet_id,integer,0,0,ParlGov ID for every cabinet in a country. The five digit number is composed of the year the cabinet came into office and an ascending digit for the number of the cabinet in that year starting with zero.,
59,50,6,position_ministry_id_source,text,0,0,ministerial portfolio for person,
63,50,10,party_id,integer,0,0,ParlGov unique party identifier. Variable name 'id' in 'party' table and 'party_id' in all other tables.,
65,50,12,start_date,date,0,0,date person took up position,
66,50,13,end_date,date,0,0,date person ended the position,
67,50,16,comment,text,0,0,additional information about the coding of this observation,
