id,country_id,family_id,name_short,name_english,name,name_ascii,name_nonlatin,wikipedia,data_source,description,comment,cmp,euprofiler,ees,morgan,castles_mair,huber_inglehart,ray,benoit_laver,chess,old_countryID,old_partyID
2,68,26,TOP09,Tradition Responsibility Prosperity 09,Tradice Odpovědnost Prosperita 09,Tradice Odpovednost Prosperita 09,,http://en.wikipedia.org/wiki/Tradition_Responsibility_Prosperity_09,,Party formed on 11 June 2009 as a split of the Christian Democratic Union (KDU-CSL) by MP Miroslav Kalousek.,,,,,,,,,,2109,203,14
3,8,3,KNP,Catholic National Party,Katholieke Nationale Partij,Katholieke Nationale Partij,,http://en.wikipedia.org/wiki/Katholieke_Nationale_Partij,,,,,,,,,,,,,528,46
4,5,26,PNP,People's New Party,Kokumin Shinto,Kokumin Shinto,国民新党,http://en.wikipedia.org/wiki/People%27s_New_Party,,,,,,,,,,,,,392,38
5,23,26,PU|PC,Humanist Party | Conservative Party,Partidul Umanist | Partidul Conservator,Partidul Umanist | Partidul Conservator,,http://en.wikipedia.org/wiki/Conservative_Party_(Romania),,"New party formed on 18 December 1991.
Party was renamed into Conservative Party (PC) on 7 May 2005.
PC merged with Liberal Reformist Party (PLR) into Alliance of Liberals and Democrats (ALDE) on 19 June 2015.
PC members who did not want to merge into ALDE formed Social Liberal Humanist Party (PUSL) on 28 September 2015.",2015 change coded as one party to avoid high number of short lived parties in ParlGov,,,1642600,,,,,3356,2702,642,14
6,51,40,NO,New Horizons,Neoi Orizontes,Neoi Orizontes,Νέοι Ορίζοντες,http://en.wikipedia.org/wiki/New_Horizons_%28Cyprus%29,,New party formed in 1996.,,,,,,,,,5459,,196,31
11,63,14,APU,United People Alliance,Aliança Povo Unido,Alianca Povo Unido,,http://en.wikipedia.org/wiki/United_People_Alliance,,,,,,,,,,,,,620,10
15,10,16,KSII,Simeon II Coalition,Koalitsiya Simeon II,Koalitsiya Simeon II,Коалиция Симеон II,,,Minor party supporting king but different to National Movement Simeon II (NDSV).,,,,,,,,,,2006,100,52
16,60,3,SLS,Slovenian People's Party,Slovenska ljudska stranka,Slovenska ljudska stranka,,http://en.wikipedia.org/wiki/Slovenian_People%27s_Party,,,SLS merged with SKD 15 April 2000 to form the SLS + SKD Slovenian People's Party in 2000 but the party was renamed into SLS in 2001.,97521,264,1705521,,,,,4287,2904,705,29
17,9,16,Hf,Resistance Movement,Hjemmefronten,Hjemmefronten,,http://no.wikipedia.org/wiki/Hjemmefronten,,,,,,,,,,,,,,
18,74,11,SoPr,Labour Solidarity,Solidarność Pracy,Solidarnosc Pracy,,http://pl.wikipedia.org/wiki/Solidarno%C5%9B%C4%87_Pracy,,New party formed in 1990. ,,92321,,,,,,,,,616,70
