id,party_id,type_id
1,982,36
3,1160,27
4,1570,36
6,1173,36
9,1591,36
11,519,36
12,1277,36
13,1260,36
15,309,36
16,1520,36
17,1077,36
18,664,36
20,629,36
22,419,36
23,958,36
24,713,36
25,1120,36
26,562,36
27,44,36
28,1415,36
29,1252,36
30,706,36
31,470,39
32,1180,9
33,689,9
36,112,39
37,1549,39
43,599,39
44,544,39
45,535,39
46,535,22
47,1044,39
48,1044,22
49,276,39
50,19,9
51,872,39
52,872,22
53,1395,39
54,1395,25
56,552,39
57,1137,39
61,428,39
62,428,39
63,95,39
64,95,22
71,407,37
73,1327,16
74,1582,39
75,1521,38
76,951,25
77,323,8
79,831,8
81,171,39
82,1440,39
83,993,39
85,290,22
87,364,22
94,628,39
95,564,39
97,29,22
98,795,22
99,1506,39
100,524,39
101,1537,39
102,285,98
104,1263,22
105,1250,22
106,1126,39
108,1179,22
109,600,22
112,176,39
114,383,22
115,432,22
116,1502,70
117,374,22
118,1557,22
120,521,22
121,209,39
124,713,22
125,648,22
129,586,22
130,20,22
131,1072,22
132,1546,22
133,240,22
137,1536,25
141,1500,39
142,653,25
143,1720,25
146,693,25
147,1400,25
148,456,25
149,710,42
150,491,42
153,749,42
154,978,39
155,1450,42
157,1743,25
158,1744,39
159,1745,39
160,404,42
161,1010,27
162,802,27
163,733,37
164,1587,37
165,921,39
170,669,42
171,1436,9
172,1436,39
173,200,40
174,200,25
175,1418,39
176,147,38
180,1758,39
181,1758,22
182,120,39
183,751,39
185,769,39
186,50,39
187,1744,42
188,1745,42
189,708,39
190,1440,22
191,993,22
194,1594,39
195,470,37
196,171,22
197,748,39
198,460,39
201,556,39
202,677,39
203,897,39
204,1392,39
205,1239,39
206,367,39
207,1418,25
208,538,39
209,189,39
210,806,39
211,638,39
213,898,39
214,516,39
215,1176,39
216,1131,9
217,649,39
218,1420,39
219,1506,22
220,187,39
221,292,39
222,292,37
223,1537,22
224,791,39
225,524,22
226,210,39
227,1172,39
228,433,39
230,409,39
231,1321,39
233,1304,39
234,1560,89
235,1050,39
236,176,22
237,1436,25
238,421,39
239,1424,39
240,1296,39
242,1028,67
243,1593,39
244,1080,39
246,1723,39
247,310,39
249,209,22
250,275,39
251,1194,39
253,1595,39
254,112,37
256,87,39
257,1452,39
259,625,39
263,1444,39
264,1171,39
266,1636,39
267,27,39
268,1638,39
269,1264,39
270,1318,39
271,1167,39
272,1602,39
273,628,22
274,964,39
275,564,22
276,1500,25
278,467,39
279,1126,22
280,311,89
281,1284,89
282,1760,39
283,1761,39
286,979,42
287,1649,42
289,109,37
290,466,19
291,443,9
292,1576,37
293,1162,22
294,1768,22
295,1776,22
296,1606,60
297,351,60
298,62,9
304,1275,37
305,837,63
306,316,22
313,1821,63
315,1828,63
316,1833,63
318,1832,63
319,1827,63
320,265,63
321,214,63
324,74,9
325,1892,9
327,1894,9
328,1891,67
329,1317,67
330,1496,27
331,1945,68
333,1964,9
334,1792,37
343,184,2
347,2022,38
348,990,79
350,1254,27
353,301,79
356,2063,3
358,1042,36
359,1043,93
360,1667,27
361,972,27
363,267,22
364,1330,6
368,840,27
371,67,27
372,1444,27
373,2034,80
374,2057,80
375,2055,80
376,2052,80
377,2067,80
378,2058,80
379,2056,80
380,2054,80
381,2059,80
382,2070,80
383,2053,80
384,177,98
386,2079,98
388,2083,98
390,339,42
392,1790,9
393,2084,27
394,2085,11
395,356,27
396,2096,27
397,2092,8
398,2091,25
399,1582,37
400,2101,27
401,2103,42
402,2106,37
403,1362,22
404,108,81
405,321,27
406,321,81
407,17,81
409,2109,37
410,2111,70
411,1634,9
412,2121,25
414,2130,25
415,2130,22
417,2133,17
418,2134,37
419,2135,9
421,2148,70
422,2150,42
423,613,37
424,1307,9
426,1298,9
427,248,9
428,2155,39
429,527,27
430,25,70
438,1638,27
439,1644,82
440,1296,82
442,120,82
443,437,27
444,987,93
446,1520,17
447,1100,17
448,928,17
449,42,81
450,28,17
451,500,27
452,1083,17
453,956,9
454,1782,81
455,863,17
456,2025,17
457,2036,17
458,812,17
459,2171,80
460,1050,83
461,421,83
462,107,83
463,1702,83
464,1149,83
465,2170,27
466,2173,36
467,1286,17
469,800,83
470,784,27
471,1375,27
473,1160,36
474,2179,27
475,2178,17
477,1040,9
