id,country_id,start_date,end_date,person_id,person_id_source,party_id,data_source,description,comment
1,40,1966-01-01,1966-12-31,7243,Hans Schaffner,26,,,
2,37,1974-12-19,1976-10-22,17075,Cearbhall Ó Dálaigh,30,,,
3,74,1989-12-31,1990-12-22,17095,Wojciech Jaruzelski,1077,,,
4,59,1951-06-21,1957-01-04,12553,Theodor Körner,973,,,
5,40,1961-01-01,1961-12-31,3131,Friedrich Traugott Wahlen,750,,,
6,40,2008-01-01,2008-12-31,11791,Pascal Couchepin,26,,,
7,59,1974-07-08,1980-05-18,4021,Rudolf Kirchschläger,272,,,
8,59,1980-05-18,1986-07-08,4021,Rudolf Kirchschläger,272,,,
9,43,1954-01-16,1959-01-08,199,René Coty,1414,,,
10,51,2013-02-28,2018-02-04,17056,Nicos Anastasiades,851,,,
11,26,1946-06-28,1947-06-25,17083,Enrico De Nicola,487,,,
12,26,1947-06-25,1948-05-11,17083,Enrico De Nicola,487,,,
13,40,1976-01-01,1976-12-31,11772,Rudolf Gnägi,750,,,
14,74,1990-12-22,1995-12-22,17094,Lech Wałęsa,108,,,
15,40,1984-01-01,1984-12-31,11125,Leon Schlumpf,750,,,
16,23,2000-12-20,2004-12-20,17099,Ion Iliescu,1120,,,
17,72,2004-04-04,2009-04-04,11793,Edward Fenech Adami,984,,,
18,40,1995-01-01,1995-12-31,14593,Kaspar Villiger,26,,,
19,26,1992-05-25,1999-05-13,9761,Oscar Luigi Scalfaro,1633,,,
20,67,2012-03-01,2018-01-28,6495,Sauli Niinistö,1118,,,
21,41,1975-06-20,1980-05-15,17066,Konstantinos Tsatsos,47,,,
22,1,2004-06-15,2009-04-04,17101,Ivan Gašparovič,2160,,,
23,1,2009-04-04,2014-06-15,17101,Ivan Gašparovič,2160,,,
24,40,1972-01-01,1972-12-31,10045,Nello Celio,26,,,
25,56,1996-08-01,2000-01-01,2403,Ólafur Ragnar Grímsson,1360,,,
26,56,2000-01-01,2004-06-26,2403,Ólafur Ragnar Grímsson,1360,,,
27,56,2004-06-26,2008-06-28,2403,Ólafur Ragnar Grímsson,1360,,,
28,56,2008-06-28,2012-06-30,2403,Ólafur Ragnar Grímsson,1360,,,
29,56,2012-06-30,2016-08-01,2403,Ólafur Ragnar Grímsson,1360,,,
