party_id,left_right,state_market,liberty_authority,eu_anti_pro,calculation_date
2,7.4,6.4,7.0,7.9,2021-09-13 20:28:26
3,6.2,5.7,7.1,8.3,2021-09-13 20:28:26
4,7.4,6.4,7.0,,2021-09-13 20:28:26
5,4.7622,4.7538,6.2779,8.2028,2021-09-13 20:28:26
6,9.3421,6.5789,7.1053,,2021-09-13 20:28:26
11,1.3,1.4,3.0,3.3,2021-09-13 20:28:26
15,6.86,6.29,6.33,7.7833,2021-09-13 20:28:26
16,6.6953,5.0282,7.6299,6.8549,2021-09-13 20:28:26
17,,,,,2021-09-13 20:28:26
18,3.3,3.5,3.5,8.1,2021-09-13 20:28:26
19,,,,,2021-09-13 20:28:26
20,8.5,3.75,8.62,3.45,2021-09-13 20:28:26
21,2.5,2.5,1.8,6.5,2021-09-13 20:28:26
25,,,,,2021-09-13 20:28:26
26,6.3249,8.0105,3.4159,6.4439,2021-09-13 20:28:26
27,1.3,1.4,3.0,0.0,2021-09-13 20:28:26
28,3.865,3.9,7.325,7.4667,2021-09-13 20:28:26
29,8.8,5.9,8.5,2.3,2021-09-13 20:28:26
30,,,,,2021-09-13 20:28:26
31,,,,,2021-09-13 20:28:26
32,1.864,2.1751,5.2767,5.7675,2021-09-13 20:28:26
35,1.8319,1.7579,1.2281,9.0614,2021-09-13 20:28:26
41,7.4,6.4,7.0,7.9,2021-09-13 20:28:26
42,,,,,2021-09-13 20:28:26
44,0.5275,0.937,4.5302,3.5075,2021-09-13 20:28:26
47,6.7365,6.9754,6.6712,8.9869,2021-09-13 20:28:26
50,8.3494,6.3291,8.5149,1.9815,2021-09-13 20:28:26
52,6.2,5.7,7.1,8.3,2021-09-13 20:28:26
53,1.3,1.4,3.0,,2021-09-13 20:28:26
55,3.3,3.5,3.5,8.1,2021-09-13 20:28:26
57,7.85,7.83,4.5,8.9667,2021-09-13 20:28:26
58,,,,,2021-09-13 20:28:26
59,7.0577,7.7993,6.1743,8.246,2021-09-13 20:28:26
61,6.0,6.7,3.6,,2021-09-13 20:28:26
62,6.2,5.7,7.1,8.3,2021-09-13 20:28:26
63,6.0,6.7,3.6,8.7,2021-09-13 20:28:26
64,3.0526,2.5965,1.7544,8.1754,2021-09-13 20:28:26
65,,,,,2021-09-13 20:28:26
66,,,,,2021-09-13 20:28:26
67,7.4,6.4,7.0,7.9,2021-09-13 20:28:26
73,,,,,2021-09-13 20:28:26
74,3.3,3.5,3.5,8.1,2021-09-13 20:28:26
77,3.3,3.5,3.5,8.1,2021-09-13 20:28:26
81,1.5839,1.3534,1.5038,1.1568,2021-09-13 20:28:26
82,,,,7.5,2021-09-13 20:28:26
86,3.3,3.5,3.5,,2021-09-13 20:28:26
87,7.4,6.4,7.0,7.9,2021-09-13 20:28:26
90,3.7719,6.7544,3.2456,8.6842,2021-09-13 20:28:26
92,7.4,6.4,7.0,7.9,2021-09-13 20:28:26
93,4.9704,5.8,5.1667,9.0278,2021-09-13 20:28:26
94,5.8027,4.9349,7.2203,5.5267,2021-09-13 20:28:26
95,9.6065,3.807,9.5894,0.9358,2021-09-13 20:28:26
99,5.9067,5.1167,7.5833,8.5,2021-09-13 20:28:26
104,3.3706,2.9574,2.7105,8.2933,2021-09-13 20:28:26
106,7.4,6.4,7.0,,2021-09-13 20:28:26
107,7.4,6.4,7.0,5.0,2021-09-13 20:28:26
108,3.3,3.5,3.5,8.1,2021-09-13 20:28:26
109,,,,,2021-09-13 20:28:26
110,8.8,5.9,8.5,2.3,2021-09-13 20:28:26
112,,,,,2021-09-13 20:28:26
113,7.8969,8.6246,5.2737,8.5715,2021-09-13 20:28:26
114,,,,,2021-09-13 20:28:26
118,2.0183,1.8937,1.7351,5.2186,2021-09-13 20:28:26
119,6.2,5.7,7.1,8.3,2021-09-13 20:28:26
120,3.7004,3.3684,1.1579,,2021-09-13 20:28:26
121,,,,,2021-09-13 20:28:26
123,,,,,2021-09-13 20:28:26
128,6.1667,5.145,7.7583,7.4426,2021-09-13 20:28:26
131,7.3591,7.4401,5.0433,9.3905,2021-09-13 20:28:26
133,,,,,2021-09-13 20:28:26
134,,,,,2021-09-13 20:28:26
135,7.1,6.7,3.6,8.7,2021-09-13 20:28:26
137,6.2,5.7,7.1,8.3,2021-09-13 20:28:26
138,7.4997,6.5934,7.1854,6.9862,2021-09-13 20:28:26
139,7.4,6.4,7.0,7.9,2021-09-13 20:28:26
141,1.6886,1.7263,1.0316,6.507,2021-09-13 20:28:26
142,4.6267,4.105,5.8567,9.0778,2021-09-13 20:28:26
143,3.3,3.5,3.5,8.1,2021-09-13 20:28:26
147,2.2222,2.5,1.8,,2021-09-13 20:28:26
148,5.7895,5.2632,7.0,2.6316,2021-09-13 20:28:26
151,1.3,1.4,3.0,,2021-09-13 20:28:26
152,,,,,2021-09-13 20:28:26
154,6.0,6.7,3.6,,2021-09-13 20:28:26
156,3.3,3.5,3.5,8.1,2021-09-13 20:28:26
161,2.641,2.3887,1.3744,7.5411,2021-09-13 20:28:26
163,3.3,3.5,3.5,,2021-09-13 20:28:26
167,2.5,3.5,3.5,8.1,2021-09-13 20:28:26
170,7.4,6.4,7.0,,2021-09-13 20:28:26
171,9.655,8.0831,9.1382,1.5539,2021-09-13 20:28:26
176,9.5762,4.0871,9.4093,1.8252,2021-09-13 20:28:26
177,3.3,3.5,3.5,8.1,2021-09-13 20:28:26
179,6.9996,5.6339,6.7947,8.804,2021-09-13 20:28:26
180,2.6486,2.6316,2.1902,9.1283,2021-09-13 20:28:26
181,8.8,5.9,8.5,2.3,2021-09-13 20:28:26
184,7.8222,6.2456,8.4561,,2021-09-13 20:28:26
187,8.8,5.9,8.5,2.3,2021-09-13 20:28:26
188,6.0,6.7,3.6,,2021-09-13 20:28:26
189,0.8,1.4,3.0,0.7333,2021-09-13 20:28:26
191,3.2687,3.7152,5.8514,5.2909,2021-09-13 20:28:26
196,4.123,3.8917,1.8596,7.8505,2021-09-13 20:28:26
198,,,,,2021-09-13 20:28:26
199,,,,,2021-09-13 20:28:26
200,6.6331,4.8745,7.999,1.0945,2021-09-13 20:28:26
202,,,,,2021-09-13 20:28:26
203,8.8,5.9,8.5,2.3,2021-09-13 20:28:26
205,3.3,3.5,3.5,,2021-09-13 20:28:26
207,3.997,2.008,7.3253,2.1473,2021-09-13 20:28:26
209,9.4097,8.5714,9.25,1.312,2021-09-13 20:28:26
210,1.1842,1.4474,1.6667,,2021-09-13 20:28:26
211,4.8736,5.318,2.3903,7.8594,2021-09-13 20:28:26
212,8.2963,6.0,8.5455,3.5447,2021-09-13 20:28:26
213,5.8695,5.9852,5.4033,8.9659,2021-09-13 20:28:26
214,8.6207,3.9035,9.3466,,2021-09-13 20:28:26
215,6.0,6.7,3.6,,2021-09-13 20:28:26
217,7.4,6.4,7.0,,2021-09-13 20:28:26
219,2.5,2.5,1.8,6.5,2021-09-13 20:28:26
220,3.3799,3.5124,3.6548,7.1697,2021-09-13 20:28:26
221,6.0,6.7,3.6,8.7,2021-09-13 20:28:26
224,1.3,1.4,3.0,5.0,2021-09-13 20:28:26
226,6.1092,5.1181,7.8038,7.128,2021-09-13 20:28:26
228,4.4444,3.5,3.5,,2021-09-13 20:28:26
229,1.3,1.4,3.0,0.55,2021-09-13 20:28:26
234,5.9789,5.9,5.7694,8.0278,2021-09-13 20:28:26
235,5.9376,5.8848,6.6882,7.7157,2021-09-13 20:28:26
238,6.2,5.7,7.1,8.3,2021-09-13 20:28:26
239,6.2,5.7,7.1,8.3,2021-09-13 20:28:26
240,8.8,5.9,8.5,2.3,2021-09-13 20:28:26
242,4.6206,3.915,2.99,8.8222,2021-09-13 20:28:26
243,7.4,6.4,7.0,7.9,2021-09-13 20:28:26
244,3.3,3.5,3.5,,2021-09-13 20:28:26
247,6.0,6.7,3.6,,2021-09-13 20:28:26
248,,,,,2021-09-13 20:28:26
249,7.4,6.4,7.0,,2021-09-13 20:28:26
251,8.0222,8.1963,8.9916,4.3909,2021-09-13 20:28:26
252,3.3,3.5,3.5,8.1,2021-09-13 20:28:26
254,3.3,3.5,3.5,8.1,2021-09-13 20:28:26
255,2.5,2.5,1.8,6.5,2021-09-13 20:28:26
256,1.3,1.4,3.0,3.3,2021-09-13 20:28:26
257,3.3,3.5,3.5,8.1,2021-09-13 20:28:26
259,7.8,7.25,7.875,2.2222,2021-09-13 20:28:26
260,1.3,1.4,3.0,1.95,2021-09-13 20:28:26
265,,,,,2021-09-13 20:28:26
266,,,,,2021-09-13 20:28:26
267,8.8,5.9,8.5,2.3,2021-09-13 20:28:26
270,9.6854,7.4011,9.2889,0.2157,2021-09-13 20:28:26
272,,,,,2021-09-13 20:28:26
275,8.8,5.9,8.5,2.3,2021-09-13 20:28:26
276,7.1053,5.7018,6.9298,7.1053,2021-09-13 20:28:26
277,6.0,6.7,3.6,,2021-09-13 20:28:26
278,6.0,6.7,3.6,8.7,2021-09-13 20:28:26
279,6.0,6.7,3.6,,2021-09-13 20:28:26
280,6.0713,5.8991,6.9898,7.8389,2021-09-13 20:28:26
281,1.3,1.4,3.0,3.3,2021-09-13 20:28:26
282,7.195,6.7938,7.9997,7.8597,2021-09-13 20:28:26
285,7.6583,9.0,9.0,5.8333,2021-09-13 20:28:26
288,,,,,2021-09-13 20:28:26
290,6.5321,5.8809,6.06,6.4243,2021-09-13 20:28:26
292,,,,,2021-09-13 20:28:26
296,2.46,1.9195,1.1134,,2021-09-13 20:28:26
300,5.8067,5.6933,6.7724,8.2894,2021-09-13 20:28:26
301,,,,,2021-09-13 20:28:26
303,3.3,3.5,3.5,,2021-09-13 20:28:26
305,3.3,3.5,3.5,,2021-09-13 20:28:26
306,0.8912,1.2012,1.7524,0.9971,2021-09-13 20:28:26
307,1.3,1.4,3.0,3.3,2021-09-13 20:28:26
308,2.5,2.5,1.8,6.5,2021-09-13 20:28:26
309,1.25,2.1093,5.5837,4.8684,2021-09-13 20:28:26
310,2.5,1.5789,0.7895,,2021-09-13 20:28:26
311,3.1183,2.6251,3.7107,7.8314,2021-09-13 20:28:26
313,7.19,7.77,4.02,9.225,2021-09-13 20:28:26
316,9.386,3.1579,7.6842,1.8421,2021-09-13 20:28:26
317,1.3,1.4,3.0,3.3,2021-09-13 20:28:26
318,3.6252,3.353,3.1071,7.1292,2021-09-13 20:28:26
319,7.4,6.4,7.0,7.9,2021-09-13 20:28:26
321,,,,,2021-09-13 20:28:26
322,8.8,5.9,8.5,2.3,2021-09-13 20:28:26
323,8.8,5.9,8.5,2.3,2021-09-13 20:28:26
325,2.5,2.5,1.8,6.5,2021-09-13 20:28:26
326,3.3,3.5,3.5,8.1,2021-09-13 20:28:26
329,3.8377,2.8138,5.2851,5.7263,2021-09-13 20:28:26
332,3.3,3.5,3.5,8.1,2021-09-13 20:28:26
334,6.2,5.7,7.1,8.3,2021-09-13 20:28:26
335,4.2,3.6667,6.25,7.0833,2021-09-13 20:28:26
336,6.0,6.7,3.6,8.7,2021-09-13 20:28:26
339,,,,,2021-09-13 20:28:26
341,3.3,3.5,3.5,8.3333,2021-09-13 20:28:26
342,1.6,2.5,1.8,5.0,2021-09-13 20:28:26
345,4.5066,4.9917,1.7625,8.6233,2021-09-13 20:28:26
349,,,,,2021-09-13 20:28:26
351,8.7595,7.5,5.5388,6.119,2021-09-13 20:28:26
353,5.5263,5.7895,5.9398,8.9474,2021-09-13 20:28:26
354,3.0194,2.6316,3.5,,2021-09-13 20:28:26
356,6.29,6.71,4.43,9.7667,2021-09-13 20:28:26
357,1.3682,1.0421,4.2099,2.5049,2021-09-13 20:28:26
358,6.0,6.7,3.6,8.7,2021-09-13 20:28:26
360,3.7895,3.2632,4.6316,,2021-09-13 20:28:26
363,8.8,5.9,8.5,2.3,2021-09-13 20:28:26
364,8.8,5.9,8.5,2.3,2021-09-13 20:28:26
366,6.2,5.7,7.1,6.6667,2021-09-13 20:28:26
367,1.3,1.4,3.0,3.3,2021-09-13 20:28:26
368,5.0552,5.3509,3.4615,,2021-09-13 20:28:26
369,5.5556,5.7,7.1,8.3,2021-09-13 20:28:26
370,4.85,4.86,4.43,8.725,2021-09-13 20:28:26
373,8.0871,4.9559,8.8366,4.3389,2021-09-13 20:28:26
374,8.8,5.9,8.5,,2021-09-13 20:28:26
375,1.3,1.4,3.0,3.3,2021-09-13 20:28:26
376,6.0,6.7,3.6,8.7,2021-09-13 20:28:26
379,3.3,3.5,3.5,5.0,2021-09-13 20:28:26
380,4.6,3.8,2.6,7.3333,2021-09-13 20:28:26
382,2.6216,2.9825,2.0943,7.834,2021-09-13 20:28:26
383,9.8,2.25,8.6,1.0,2021-09-13 20:28:26
384,6.0,6.7,3.6,8.7,2021-09-13 20:28:26
385,,,,,2021-09-13 20:28:26
386,8.1579,5.3008,7.9649,,2021-09-13 20:28:26
387,1.3,1.4,3.0,,2021-09-13 20:28:26
390,1.3,1.4,3.0,,2021-09-13 20:28:26
393,3.3,3.5,3.5,,2021-09-13 20:28:26
395,3.5595,3.5454,4.2417,8.621,2021-09-13 20:28:26
397,6.0,6.7,3.6,8.7,2021-09-13 20:28:26
399,5.285,4.61,7.195,8.3833,2021-09-13 20:28:26
401,3.9896,4.1676,4.2381,7.9361,2021-09-13 20:28:26
402,3.8433,3.9133,3.5288,8.4641,2021-09-13 20:28:26
403,2.5,2.5,1.8,6.5,2021-09-13 20:28:26
404,5.67,5.89,5.14,1.5167,2021-09-13 20:28:26
405,5.8067,5.6933,6.7724,8.2894,2021-09-13 20:28:26
406,3.3,3.5,3.5,8.1,2021-09-13 20:28:26
407,,,,,2021-09-13 20:28:26
408,8.6587,4.0081,9.4332,2.0078,2021-09-13 20:28:26
409,7.4,6.4,7.0,7.9,2021-09-13 20:28:26
411,,,,,2021-09-13 20:28:26
412,8.8,5.9,8.5,2.3,2021-09-13 20:28:26
414,,,,,2021-09-13 20:28:26
417,4.5812,4.8509,6.9474,6.0627,2021-09-13 20:28:26
418,1.3,1.4,3.0,3.3,2021-09-13 20:28:26
419,5.3875,5.1868,3.9647,9.5309,2021-09-13 20:28:26
421,7.4,6.4,7.0,7.9,2021-09-13 20:28:26
423,6.1111,5.7,7.1,8.3,2021-09-13 20:28:26
424,6.0,6.7,3.6,8.7,2021-09-13 20:28:26
425,,,,,2021-09-13 20:28:26
426,,,,,2021-09-13 20:28:26
427,6.2,5.7,7.1,5.8333,2021-09-13 20:28:26
428,8.4962,8.2456,6.1053,9.2632,2021-09-13 20:28:26
429,,,,,2021-09-13 20:28:26
432,8.8,5.9,8.5,2.3,2021-09-13 20:28:26
433,1.3,1.4,3.0,3.3,2021-09-13 20:28:26
434,7.4,2.17,8.33,5.8333,2021-09-13 20:28:26
436,8.8,5.9,8.5,2.3,2021-09-13 20:28:26
437,6.5432,3.9949,7.5275,6.6143,2021-09-13 20:28:26
438,7.4,6.4,7.0,7.9,2021-09-13 20:28:26
439,5.5717,5.06,4.1541,,2021-09-13 20:28:26
440,8.1444,5.7,7.1,8.3,2021-09-13 20:28:26
441,,,,,2021-09-13 20:28:26
442,0.0714,0.2143,6.0,0.4762,2021-09-13 20:28:26
443,6.0417,5.7273,5.875,8.8769,2021-09-13 20:28:26
445,7.4,6.4,7.0,7.9,2021-09-13 20:28:26
446,7.4,6.4,7.0,,2021-09-13 20:28:26
448,3.0215,3.1207,2.2063,,2021-09-13 20:28:26
450,3.3333,3.5,3.5,8.1,2021-09-13 20:28:26
451,5.9473,5.8848,6.6882,7.7157,2021-09-13 20:28:26
453,,,,,2021-09-13 20:28:26
454,6.8551,7.2667,4.4381,9.0856,2021-09-13 20:28:26
456,8.5609,8.0776,4.7759,2.5798,2021-09-13 20:28:26
457,0.5263,0.8772,1.0526,,2021-09-13 20:28:26
458,7.2961,8.477,4.2441,7.6667,2021-09-13 20:28:26
460,2.6,3.5,3.5,8.1,2021-09-13 20:28:26
462,7.4,6.4,7.0,,2021-09-13 20:28:26
463,6.0,6.7,3.6,8.7,2021-09-13 20:28:26
465,1.3,1.4,3.0,3.3,2021-09-13 20:28:26
466,5.2632,5.3947,6.1184,6.7763,2021-09-13 20:28:26
467,2.57,2.3775,2.0139,4.9858,2021-09-13 20:28:26
470,8.8,5.9,8.5,2.3,2021-09-13 20:28:26
473,,,,,2021-09-13 20:28:26
474,,,,,2021-09-13 20:28:26
475,6.0,6.7,3.6,8.7,2021-09-13 20:28:26
482,7.7562,8.2271,2.8532,9.2244,2021-09-13 20:28:26
486,7.2222,6.7,3.6,8.7,2021-09-13 20:28:26
487,6.45,6.7,3.6,7.5,2021-09-13 20:28:26
488,6.2,5.7,7.1,8.3,2021-09-13 20:28:26
489,6.0,6.7,3.6,8.7,2021-09-13 20:28:26
490,,,,,2021-09-13 20:28:26
491,6.0,6.7,3.6,,2021-09-13 20:28:26
493,6.2,5.7,7.1,8.3,2021-09-13 20:28:26
500,7.4,6.4,7.0,7.9,2021-09-13 20:28:26
