country_name_short,country_name,year,cabinets,com,eco,soc,agr,lib,chr,con,right,other
AUS,Australia,1902,1,0,0,0,0,0,0,100,0,0
AUS,Australia,1903,2,0,0,0,0,0,0,100,0,0
AUS,Australia,1904,3,0,0,31,0,18.1,0,50.9,0,0
AUS,Australia,1905,2,0,0,0,0,24.9,0,75.1,0,0
AUS,Australia,1906,1,0,0,0,0,0,0,100,0,0
AUS,Australia,1907,1,0,0,0,0,0,0,100,0,0
AUS,Australia,1908,2,0,0,13.2,0,0,0,86.8,0,0
AUS,Australia,1909,2,0,0,41.8,0,36.6,0,21.7,0,0
AUS,Australia,1910,2,0,0,67.6,0,20.4,0,12.1,0,0
AUS,Australia,1911,1,0,0,100,0,0,0,0,0,0
AUS,Australia,1912,1,0,0,100,0,0,0,0,0,0
AUS,Australia,1913,2,0,0,47.8,0,0,0,52.2,0,0
AUS,Australia,1914,2,0,0,28.8,0,0,0,71.2,0,0
AUS,Australia,1915,2,0,0,100,0,0,0,0,0,0
AUS,Australia,1916,2,0,0,100,0,0,0,0,0,0
AUS,Australia,1917,3,0,0,12.9,0,0,0,0,0,0
AUS,Australia,1918,2,0,0,0,0,0,0,0,100,0
AUS,Australia,1919,2,0,0,0,0,0,0,0,100,0
AUS,Australia,1920,1,0,0,0,0,0,0,0,100,0
AUS,Australia,1921,1,0,0,0,0,0,0,0,100,0
AUS,Australia,1922,1,0,0,0,0,0,0,0,100,0
AUS,Australia,1923,2,0,0,0,0,0,0,31.2,68.8,0
AUS,Australia,1924,1,0,0,0,0,0,0,35,65,0
AUS,Australia,1925,2,0,0,0,0,0,0,34,66,0
AUS,Australia,1926,1,0,0,0,0,0,0,27.5,72.5,0
AUS,Australia,1927,1,0,0,0,0,0,0,27.5,72.5,0
AUS,Australia,1928,2,0,0,0,0,0,0,27.9,72.1,0
AUS,Australia,1929,2,0,0,19.2,0,0,0,25,55.7,0
AUS,Australia,1930,1,0,0,100,0,0,0,0,0,0
AUS,Australia,1931,1,0,0,100,0,0,0,0,0,0
