country_name_short,country_name,election_date,start_date,cabinet_name,caretaker,cabinet_id,duration,cabinet_type,grand_coalition
AUS,Australia,1901-03-30,1901-03-30,Barton,1,996,908,minority,0
AUS,Australia,1901-03-30,1903-09-24,Deakin I,0,997,216,minority,0
AUS,Australia,1903-12-16,1904-04-27,Watson,0,998,113,minority,0
AUS,Australia,1903-12-16,1904-08-18,Reid,0,999,321,min_win,1
AUS,Australia,1903-12-16,1905-07-05,Deakin II,0,1000,1227,minority,0
AUS,Australia,1906-12-02,1908-11-13,Fisher I,0,1001,201,minority,0
AUS,Australia,1906-12-02,1909-06-02,Deakin III,0,1002,331,min_win,0
AUS,Australia,1910-04-13,1910-04-29,Fisher II,0,1003,1152,min_win,0
AUS,Australia,1913-05-31,1913-06-24,Cook,0,1004,450,min_win,0
AUS,Australia,1914-09-05,1914-09-17,Fisher III,0,1005,405,min_win,0
AUS,Australia,1914-09-05,1915-10-27,Hughes I,0,1006,384,min_win,0
AUS,Australia,1914-09-05,1916-11-14,Hughes II,0,1007,95,minority,0
AUS,Australia,1914-09-05,1917-02-17,Hughes III,0,1008,77,minority,0
AUS,Australia,1917-05-05,1917-05-05,Hughes IV,0,1009,250,min_win,0
AUS,Australia,1917-05-05,1918-01-10,Hughes V,0,1010,702,min_win,0
AUS,Australia,1919-12-13,1919-12-13,Hughes VI,0,1011,1154,minority,0
AUS,Australia,1922-12-16,1923-02-09,Bruce I,0,1012,1009,min_win,0
AUS,Australia,1925-11-14,1925-11-14,Bruce II,0,1013,1099,min_win,0
AUS,Australia,1928-11-17,1928-11-17,Bruce III,0,1014,339,min_win,0
AUS,Australia,1929-10-12,1929-10-22,Scullin,0,1015,806,min_win,0
AUS,Australia,1931-12-19,1932-01-06,Lyons I,0,1016,1038,minority,0
AUS,Australia,1934-09-15,1934-11-09,Lyons II,0,1017,1079,min_win,0
AUS,Australia,1937-10-23,1937-10-23,Lyons III,0,1018,531,min_win,0
AUS,Australia,1937-10-23,1939-04-07,Page,1,1019,19,min_win,0
AUS,Australia,1937-10-23,1939-04-26,Menzies I,0,1020,323,minority,0
AUS,Australia,1937-10-23,1940-03-14,Menzies II,0,1021,228,min_win,0
AUS,Australia,1940-09-21,1940-10-28,Menzies III,0,1022,305,minority,0
AUS,Australia,1940-09-21,1941-08-29,Fadden,0,1023,39,minority,0
AUS,Australia,1940-09-21,1941-10-07,Curtin I,0,995,714,minority,0
AUS,Australia,1943-08-21,1943-09-21,Curtin II,0,994,654,min_win,0
AUS,Australia,1943-08-21,1945-07-06,Forde,1,632,7,min_win,0
AUS,Australia,1943-08-21,1945-07-13,Chifley I,0,574,476,min_win,0
AUS,Australia,1946-09-28,1946-11-01,Chifley II,0,490,1144,min_win,0
AUS,Australia,1949-12-10,1949-12-19,Menzies IV,0,450,508,min_win,0
AUS,Australia,1951-04-28,1951-05-11,Menzies V,0,566,1155,min_win,0
AUS,Australia,1954-05-29,1954-07-09,Menzies VI,0,178,551,min_win,0
AUS,Australia,1955-12-10,1956-01-11,Menzies VII,0,479,1064,min_win,0
AUS,Australia,1958-11-22,1958-12-10,Menzies IIX,0,627,1108,min_win,0
AUS,Australia,1961-12-09,1961-12-22,Menzies IX,0,288,726,minority,0
AUS,Australia,1963-11-30,1963-12-18,Menzies X,0,786,770,min_win,0
AUS,Australia,1963-11-30,1966-01-26,Holt I,0,261,322,min_win,0
AUS,Australia,1966-11-26,1966-12-14,Holt II,0,67,370,min_win,0
AUS,Australia,1966-11-26,1967-12-19,McEwen,0,634,22,min_win,0
AUS,Australia,1966-11-26,1968-01-10,Gorton I,0,1,49,min_win,0
AUS,Australia,1966-11-26,1968-02-28,Gorton II,0,795,623,min_win,0
AUS,Australia,1969-10-25,1969-11-12,Gorton III,0,1024,483,min_win,0
AUS,Australia,1969-10-25,1971-03-10,McMahon,1,671,650,min_win,0
AUS,Australia,1972-12-02,1972-12-19,Whitlam I,0,507,540,min_win,0
AUS,Australia,1974-05-18,1974-06-12,Whitlam II,0,844,517,min_win,0
AUS,Australia,1974-05-18,1975-11-11,Fraser I,1,720,41,minority,0
AUS,Australia,1975-12-13,1975-12-22,Fraser II,0,836,729,surplus,0
AUS,Australia,1977-12-10,1977-12-20,Fraser III,0,421,1049,surplus,0
AUS,Australia,1980-10-18,1980-11-03,Fraser IV,0,774,858,min_win,0
AUS,Australia,1983-03-05,1983-03-11,Hawke I,0,576,643,min_win,0
AUS,Australia,1984-12-01,1984-12-13,Hawke II,0,401,953,min_win,0
AUS,Australia,1987-07-11,1987-07-24,Hawke III,0,875,985,min_win,0
AUS,Australia,1990-03-24,1990-04-04,Hawke IV,0,155,625,min_win,0
AUS,Australia,1990-03-24,1991-12-20,Keating I,0,725,460,min_win,0
AUS,Australia,1993-03-13,1993-03-24,Keating II,0,49,1083,min_win,0
AUS,Australia,1996-03-02,1996-03-11,Howard I,0,402,954,surplus,0
AUS,Australia,1998-10-03,1998-10-21,Howard II,0,423,1132,min_win,0
AUS,Australia,2001-11-10,2001-11-26,Howard III,0,812,1065,min_win,0
AUS,Australia,2004-10-09,2004-10-26,Howard IV,0,234,1133,min_win,0
AUS,Australia,2007-11-24,2007-12-03,Rudd,0,385,934,min_win,0
AUS,Australia,2007-11-24,2010-06-24,Gillard I,0,736,82,min_win,0
AUS,Australia,2010-08-21,2010-09-14,Gillard II,0,108,1017,minority,0
AUS,Australia,2010-08-21,2013-06-27,Rudd II,0,1061,83,minority,0
AUS,Australia,2013-09-07,2013-09-18,Abbott,0,1066,727,surplus,0
AUS,Australia,2013-09-07,2015-09-15,Turnbull I,0,1174,308,surplus,0
AUS,Australia,2016-07-02,2016-07-19,Turnbull II,0,1490,766,min_win,0
AUS,Australia,2016-07-02,2018-08-24,Morrison,0,1585,442,min_win,0
AUT,Austria,1919-02-16,1919-03-15,Renner II,0,1535,216,min_win,1
AUT,Austria,1919-02-16,1919-10-17,Renner III,0,1536,264,min_win,1
AUT,Austria,1919-02-16,1920-07-07,Mayr I,1,1537,136,surplus,1
AUT,Austria,1920-10-17,1920-11-20,Mayr II,0,1538,213,minority,0
AUT,Austria,1920-10-17,1921-06-21,Schober I,0,1539,220,surplus,0
AUT,Austria,1920-10-17,1922-01-27,Schober II,0,1540,124,minority,0
AUT,Austria,1920-10-17,1922-05-31,Seipel I,0,1541,321,min_win,0
AUT,Austria,1920-10-17,1923-04-17,Seipel II,0,1542,217,min_win,0
AUT,Austria,1923-10-21,1923-11-20,Seipel III,0,1543,366,min_win,0
AUT,Austria,1923-10-21,1924-11-20,Ramek I,0,1544,421,min_win,0
AUT,Austria,1923-10-21,1926-01-15,Ramek II,0,1545,278,min_win,0
AUT,Austria,1923-10-21,1926-10-20,Seipel IV,0,1546,211,surplus,0
AUT,Austria,1927-04-24,1927-05-19,Seipel V,0,1547,716,surplus,0
AUT,Austria,1927-04-24,1929-05-04,Streeruwitz,0,1548,145,surplus,0
AUT,Austria,1927-04-24,1929-09-26,Schober III,0,1549,369,surplus,0
AUT,Austria,1927-04-24,1930-09-30,Vaugoin,0,1550,65,minority,0
AUT,Austria,1930-11-09,1930-12-04,Ender,0,1551,198,min_win,0
AUT,Austria,1930-11-09,1931-06-20,Buresch I,0,1552,223,min_win,0
AUT,Austria,1930-11-09,1932-01-29,Buresch II,0,1553,112,min_win,0
AUT,Austria,1930-11-09,1932-05-20,Dollfuß,0,1554,4725,min_win,0
AUT,Austria,1930-11-09,1945-04-27,Renner IV,1,452,221,surplus,1
AUT,Austria,1945-11-25,1945-12-04,Figl I,0,133,716,surplus,1
AUT,Austria,1945-11-25,1947-11-20,Figl II,0,884,719,surplus,1
AUT,Austria,1949-10-09,1949-11-08,Figl III,0,775,1085,min_win,1
AUT,Austria,1949-10-09,1952-10-28,Figl IV,1,560,156,min_win,1
AUT,Austria,1953-02-22,1953-04-02,Raab I,0,659,1184,min_win,1
AUT,Austria,1956-05-13,1956-06-29,Raab II,0,105,1112,min_win,1
