country,country_name,country_id,year,agr,chr,com,con,eco,lib,other,right,soc
AUS,Australia,33,1902,0,0,0,100,0,0,0,0,0
AUS,Australia,33,1903,0,0,0,100,0,0,0,0,0
AUS,Australia,33,1904,0,0,0,100,0,0,0,0,0
AUS,Australia,33,1905,0,0,0,51,0,49,0,0,0
AUS,Australia,33,1906,0,0,0,100,0,0,0,0,0
AUS,Australia,33,1907,0,0,0,100,0,0,0,0,0
AUS,Australia,33,1908,0,0,0,100,0,0,0,0,0
AUS,Australia,33,1909,0,0,0,0,0,0,0,0,100
AUS,Australia,33,1910,0,0,0,37.2,0,62.8,0,0,0
AUS,Australia,33,1911,0,0,0,0,0,0,0,0,100
AUS,Australia,33,1912,0,0,0,0,0,0,0,0,100
AUS,Australia,33,1913,0,0,0,0,0,0,0,0,100
AUS,Australia,33,1914,0,0,0,100,0,0,0,0,0
AUS,Australia,33,1915,0,0,0,0,0,0,0,0,100
AUS,Australia,33,1916,0,0,0,0,0,0,0,0,100
AUS,Australia,33,1917,0,0,0,0,0,0,0,0,100
AUS,Australia,33,1918,0,0,0,0,0,0,0,100,0
AUS,Australia,33,1919,0,0,0,0,0,0,0,100,0
AUS,Australia,33,1920,0,0,0,0,0,0,0,100,0
AUS,Australia,33,1921,0,0,0,0,0,0,0,100,0
AUS,Australia,33,1922,0,0,0,0,0,0,0,100,0
AUS,Australia,33,1923,0,0,0,0,0,0,0,100,0
AUS,Australia,33,1924,0,0,0,35,0,0,0,65,0
AUS,Australia,33,1925,0,0,0,35,0,0,0,65,0
AUS,Australia,33,1926,0,0,0,27.5,0,0,0,72.5,0
AUS,Australia,33,1927,0,0,0,27.5,0,0,0,72.5,0
AUS,Australia,33,1928,0,0,0,27.5,0,0,0,72.5,0
AUS,Australia,33,1929,0,0,0,31,0,0,0,69,0
AUS,Australia,33,1930,0,0,0,0,0,0,0,0,100
AUS,Australia,33,1931,0,0,0,0,0,0,0,0,100
AUS,Australia,33,1932,0,0,0,0,0,0,0,0,100
AUS,Australia,33,1933,0,0,0,100,0,0,0,0,0
AUS,Australia,33,1934,0,0,0,100,0,0,0,0,0
AUS,Australia,33,1935,0,0,0,100,0,0,0,0,0
AUS,Australia,33,1936,0,0,0,100,0,0,0,0,0
AUS,Australia,33,1937,0,0,0,100,0,0,0,0,0
AUS,Australia,33,1938,0,0,0,100,0,0,0,0,0
AUS,Australia,33,1939,0,0,0,100,0,0,0,0,0
AUS,Australia,33,1940,0,0,0,100,0,0,0,0,0
AUS,Australia,33,1941,0,0,0,100,0,0,0,0,0
AUS,Australia,33,1942,0,0,0,0,0,0,0,0,100
AUS,Australia,33,1943,0,0,0,0,0,0,0,0,100
AUS,Australia,33,1944,0,0,0,0,0,0,0,0,100
AUS,Australia,33,1945,0,0,0,0,0,0,0,0,100
AUS,Australia,33,1946,0,0,0,0,0,0,0,0,100
AUS,Australia,33,1947,0,0,0,0,0,0,0,0,100
AUS,Australia,33,1948,0,0,0,0,0,0,0,0,100
AUS,Australia,33,1949,0,0,0,0,0,0,0,0,100
AUS,Australia,33,1950,0,0,0,100,0,0,0,0,0
AUS,Australia,33,1951,0,0,0,100,0,0,0,0,0
AUS,Australia,33,1952,0,0,0,100,0,0,0,0,0
AUS,Australia,33,1953,0,0,0,100,0,0,0,0,0
AUS,Australia,33,1954,0,0,0,100,0,0,0,0,0
AUS,Australia,33,1955,0,0,0,100,0,0,0,0,0
AUS,Australia,33,1956,0,0,0,100,0,0,0,0,0
AUS,Australia,33,1957,0,0,0,100,0,0,0,0,0
AUS,Australia,33,1958,0,0,0,100,0,0,0,0,0
AUS,Australia,33,1959,0,0,0,100,0,0,0,0,0
AUS,Australia,33,1960,0,0,0,100,0,0,0,0,0
AUS,Australia,33,1961,0,0,0,100,0,0,0,0,0
AUS,Australia,33,1962,0,0,0,100,0,0,0,0,0
AUS,Australia,33,1963,0,0,0,100,0,0,0,0,0
AUS,Australia,33,1964,0,0,0,100,0,0,0,0,0
AUS,Australia,33,1965,0,0,0,100,0,0,0,0,0
AUS,Australia,33,1966,0,0,0,100,0,0,0,0,0
AUS,Australia,33,1967,0,0,0,100,0,0,0,0,0
AUS,Australia,33,1968,0,0,0,100,0,0,0,0,0
AUS,Australia,33,1969,0,0,0,100,0,0,0,0,0
