country,country_name,country_id,year,agr,chr,com,con,eco,lib,other,right,soc
AUS,Australia,33,1902,0,0,0,42.7,0,34.7,2.7,0,20
AUS,Australia,33,1903,0,0,0,42.7,0,34.7,2.7,0,20
AUS,Australia,33,1904,0,0,0,34.7,0,33.3,1.3,0,30.7
AUS,Australia,33,1905,0,0,0,34.7,0,33.3,1.3,0,30.7
AUS,Australia,33,1906,0,0,0,34.7,0,33.3,1.3,0,30.7
AUS,Australia,33,1907,0,0,0,26.7,0,38.7,0,0,34.7
AUS,Australia,33,1908,0,0,0,26.7,0,38.7,0,0,34.7
AUS,Australia,33,1909,0,0,0,26.7,0,38.7,0,0,34.7
AUS,Australia,33,1910,0,0,0,26.7,0,38.7,0,0,34.7
AUS,Australia,33,1911,0,0,0,41.3,0,0,1.3,0,57.3
AUS,Australia,33,1912,0,0,0,41.3,0,0,1.3,0,57.3
AUS,Australia,33,1913,0,0,0,41.3,0,0,1.3,0,57.3
AUS,Australia,33,1914,0,0,0,50.7,0,0,0,0,49.3
AUS,Australia,33,1915,0,0,0,42.7,0,0,1.3,0,56
AUS,Australia,33,1916,0,0,0,42.7,0,0,1.3,0,56
AUS,Australia,33,1917,0,0,0,42.7,0,0,1.3,0,56
AUS,Australia,33,1918,0,0,0,0,0,0,0,70.7,29.3
AUS,Australia,33,1919,0,0,0,0,0,0,0,70.7,29.3
AUS,Australia,33,1920,8,0,0,2.7,0,0,5.3,49.3,34.7
AUS,Australia,33,1921,8,0,0,2.7,0,0,5.3,49.3,34.7
AUS,Australia,33,1922,8,0,0,2.7,0,0,5.3,49.3,34.7
AUS,Australia,33,1923,0,0,0,25,0,0,1.3,34.2,39.5
AUS,Australia,33,1924,0,0,0,25,0,0,1.3,34.2,39.5
AUS,Australia,33,1925,0,0,0,25,0,0,1.3,34.2,39.5
AUS,Australia,33,1926,0,0,0,18.4,0,0,1.3,48.7,31.6
AUS,Australia,33,1927,0,0,0,18.4,0,0,1.3,48.7,31.6
AUS,Australia,33,1928,0,0,0,18.4,0,0,1.3,48.7,31.6
AUS,Australia,33,1929,0,0,0,18.4,0,0,1.3,38.2,42.1
AUS,Australia,33,1930,0,0,0,14.5,0,0,5.3,18.4,61.8
AUS,Australia,33,1931,0,0,0,14.5,0,0,5.3,18.4,61.8
AUS,Australia,33,1932,0,0,0,65.8,0,7.9,1.3,0,25
AUS,Australia,33,1933,0,0,0,65.8,0,7.9,1.3,0,25
AUS,Australia,33,1934,0,0,0,65.8,0,7.9,1.3,0,25
AUS,Australia,33,1935,0,0,0,56,0,0,1.3,0,42.7
AUS,Australia,33,1936,0,0,0,56,0,0,1.3,0,42.7
AUS,Australia,33,1937,0,0,0,56,0,0,1.3,0,42.7
AUS,Australia,33,1938,0,0,0,57.3,0,0,4,0,38.7
AUS,Australia,33,1939,0,0,0,57.3,0,0,4,0,38.7
AUS,Australia,33,1940,0,0,0,57.3,0,0,4,0,38.7
AUS,Australia,33,1941,2.7,0,0,44,0,0,5.3,0,48
AUS,Australia,33,1942,2.7,0,0,44,0,0,5.3,0,48
AUS,Australia,33,1943,2.7,0,0,44,0,0,5.3,0,48
AUS,Australia,33,1944,0,0,0,29.3,0,0,4,0,66.7
AUS,Australia,33,1945,0,0,0,29.3,0,0,4,0,66.7
AUS,Australia,33,1946,0,0,0,29.3,0,0,4,0,66.7
AUS,Australia,33,1947,0,0,0,36,0,0,2.7,0,61.3
AUS,Australia,33,1948,0,0,0,36,0,0,2.7,0,61.3
AUS,Australia,33,1949,0,0,0,36,0,0,2.7,0,61.3
AUS,Australia,33,1950,0,0,0,60.2,0,0,0.8,0,39
AUS,Australia,33,1951,0,0,0,60.2,0,0,0.8,0,39
AUS,Australia,33,1952,0,0,0,56.1,0,0,0,0,43.9
AUS,Australia,33,1953,0,0,0,56.1,0,0,0,0,43.9
AUS,Australia,33,1954,0,0,0,56.1,0,0,0,0,43.9
AUS,Australia,33,1955,0,0,0,52,0,0,0,0,48
AUS,Australia,33,1956,0,0,0,60.5,0,0,0,0,39.5
AUS,Australia,33,1957,0,0,0,60.5,0,0,0,0,39.5
AUS,Australia,33,1958,0,0,0,60.5,0,0,0,0,39.5
AUS,Australia,33,1959,0,0,0,62.1,0,0,0,0,37.9
AUS,Australia,33,1960,0,0,0,62.1,0,0,0,0,37.9
AUS,Australia,33,1961,0,0,0,62.1,0,0,0,0,37.9
AUS,Australia,33,1962,0,0,0,50,0,0,0,0,50
AUS,Australia,33,1963,0,0,0,50,0,0,0,0,50
AUS,Australia,33,1964,0,0,0,58.1,0,0,0,0,41.9
AUS,Australia,33,1965,0,0,0,58.1,0,0,0,0,41.9
AUS,Australia,33,1966,0,0,0,58.1,0,0,0,0,41.9
AUS,Australia,33,1967,0,0,0,66.1,0,0,0.8,0,33.1
AUS,Australia,33,1968,0,0,0,66.1,0,0,0.8,0,33.1
AUS,Australia,33,1969,0,0,0,66.1,0,0,0.8,0,33.1
AUS,Australia,33,1970,0,0,0,52.8,0,0,0,0,47.2
AUS,Australia,33,1971,0,0,0,52.8,0,0,0,0,47.2
AUS,Australia,33,1972,0,0,0,52.8,0,0,0,0,47.2
AUS,Australia,33,1973,0,0,0,46.4,0,0,0,0,53.6
AUS,Australia,33,1974,0,0,0,46.4,0,0,0,0,53.6
AUS,Australia,33,1975,0,0,0,48,0,0,0,0,52
AUS,Australia,33,1976,0,0,0,70.9,0,0.8,0,0,28.3
AUS,Australia,33,1977,0,0,0,70.9,0,0.8,0,0,28.3
AUS,Australia,33,1978,0,0,0,68.5,0,0.8,0,0,30.6
AUS,Australia,33,1979,0,0,0,68.5,0,0.8,0,0,30.6
AUS,Australia,33,1980,0,0,0,68.5,0,0.8,0,0,30.6
AUS,Australia,33,1981,0,0,0,59.2,0,0,0,0,40.8
AUS,Australia,33,1982,0,0,0,59.2,0,0,0,0,40.8
AUS,Australia,33,1983,0,0,0,59.2,0,0,0,0,40.8
AUS,Australia,33,1984,0,0,0,40,0,0,0,0,60
AUS,Australia,33,1985,0,0,0,43.9,0,0.7,0,0,55.4
AUS,Australia,33,1986,0,0,0,43.9,0,0.7,0,0,55.4
AUS,Australia,33,1987,0,0,0,43.9,0,0.7,0,0,55.4
AUS,Australia,33,1988,0,0,0,41.9,0,0,0,0,58.1
AUS,Australia,33,1989,0,0,0,41.9,0,0,0,0,58.1
AUS,Australia,33,1990,0,0,0,41.9,0,0,0,0,58.1
AUS,Australia,33,1991,0,0,0,46.6,0,0,0.7,0,52.7
AUS,Australia,33,1992,0,0,0,46.6,0,0,0.7,0,52.7
AUS,Australia,33,1993,0,0,0,46.6,0,0,0.7,0,52.7
AUS,Australia,33,1994,0,0,0,44.2,0,0,1.4,0,54.4
AUS,Australia,33,1995,0,0,0,44.2,0,0,1.4,0,54.4
AUS,Australia,33,1996,0,0,0,44.2,0,0,1.4,0,54.4
AUS,Australia,33,1997,0,0,0,62.8,0,0.7,3.4,0,33.1
AUS,Australia,33,1998,0,0,0,62.8,0,0.7,3.4,0,33.1
AUS,Australia,33,1999,0,0,0,54.1,0,0,0.7,0,45.3
AUS,Australia,33,2000,0,0,0,54.1,0,0,0.7,0,45.3
AUS,Australia,33,2001,0,0,0,54.1,0,0,0.7,0,45.3
AUS,Australia,33,2002,0,0,0,54,0,0.7,2,0,43.3
AUS,Australia,33,2003,0,0,0,54,0,0.7,2,0,43.3
AUS,Australia,33,2004,0,0,0,54,0,0.7,2,0,43.3
AUS,Australia,33,2005,0,0,0,57.3,0,0.7,2,0,40
AUS,Australia,33,2006,0,0,0,57.3,0,0.7,2,0,40
AUS,Australia,33,2007,0,0,0,57.3,0,0.7,2,0,40
AUS,Australia,33,2008,0,0,0,43.3,0,0,1.3,0,55.3
AUS,Australia,33,2009,0,0,0,43.3,0,0,1.3,0,55.3
AUS,Australia,33,2010,0,0,0,43.3,0,0,1.3,0,55.3
AUS,Australia,33,2011,0,0,0,34,0.7,14.7,2.7,0,48
AUS,Australia,33,2012,0,0,0,34,0.7,14.7,2.7,0,48
AUS,Australia,33,2013,0,0,0,34,0.7,14.7,2.7,0,48
AUS,Australia,33,2014,0,0,0,44.7,0.7,16,1.3,0,37.3
AUS,Australia,33,2015,0,0,0,44.7,0.7,16,1.3,0,37.3
AUS,Australia,33,2016,0,0,0,44.7,0.7,16,1.3,0,37.3
AUS,Australia,33,2017,0,0,0,36.7,0.7,14.7,1.3,0,46.7
AUS,Australia,33,2018,0,0,0,36.7,0.7,14.7,1.3,0,46.7
AUS,Australia,33,2019,0,0,0,36.7,0.7,14.7,1.3,0,46.7
AUS,Australia,33,2020,0,0,0,35.8,0.7,15.9,2,0,45.7
AUT,Austria,59,1920,2.9,40.6,0,5.9,0,2.4,2.9,2.9,42.4
AUT,Austria,59,1921,0,46.4,0,11.5,0,0,0.5,3.8,37.7
AUT,Austria,59,1922,0,46.4,0,11.5,0,0,0.5,3.8,37.7
AUT,Austria,59,1923,0,46.4,0,11.5,0,0,0.5,3.8,37.7
AUT,Austria,59,1924,0,49.7,0,6.1,0,0,0,3,41.2
AUT,Austria,59,1925,0,49.7,0,6.1,0,0,0,3,41.2
AUT,Austria,59,1926,0,49.7,0,6.1,0,0,0,3,41.2
AUT,Austria,59,1927,0,49.7,0,6.1,0,0,0,3,41.2
AUT,Austria,59,1928,0,44.2,0,7.3,0,0,0,5.5,43
AUT,Austria,59,1929,0,44.2,0,7.3,0,0,0,5.5,43
AUT,Austria,59,1930,0,44.2,0,7.3,0,0,0,5.5,43
AUT,Austria,59,1931,0,40,0,6.1,0,0,0,10.3,43.6
AUT,Austria,59,1932,0,40,0,6.1,0,0,0,10.3,43.6
AUT,Austria,59,1933,0,40,0,6.1,0,0,0,10.3,43.6
AUT,Austria,59,1934,0,40,0,6.1,0,0,0,10.3,43.6
AUT,Austria,59,1935,0,40,0,6.1,0,0,0,10.3,43.6
AUT,Austria,59,1936,0,40,0,6.1,0,0,0,10.3,43.6
AUT,Austria,59,1937,0,40,0,6.1,0,0,0,10.3,43.6
AUT,Austria,59,1938,0,40,0,6.1,0,0,0,10.3,43.6
AUT,Austria,59,1939,0,40,0,6.1,0,0,0,10.3,43.6
AUT,Austria,59,1940,0,40,0,6.1,0,0,0,10.3,43.6
AUT,Austria,59,1941,0,40,0,6.1,0,0,0,10.3,43.6
AUT,Austria,59,1942,0,40,0,6.1,0,0,0,10.3,43.6
AUT,Austria,59,1943,0,40,0,6.1,0,0,0,10.3,43.6
AUT,Austria,59,1944,0,40,0,6.1,0,0,0,10.3,43.6
AUT,Austria,59,1945,0,40,0,6.1,0,0,0,10.3,43.6
AUT,Austria,59,1946,0,51.5,2.4,0,0,0,0,0,46.1
AUT,Austria,59,1947,0,51.5,2.4,0,0,0,0,0,46.1
AUT,Austria,59,1948,0,51.5,2.4,0,0,0,0,0,46.1
