country,country_name,country_id,year,family,seat_share,cabinet_share
AUS,Australia,33,1902,agr,0,0
AUS,Australia,33,1902,chr,0,0
AUS,Australia,33,1902,com,0,0
AUS,Australia,33,1902,con,42.7,100
AUS,Australia,33,1902,eco,0,0
AUS,Australia,33,1902,lib,34.7,0
AUS,Australia,33,1902,other,2.7,0
AUS,Australia,33,1902,right,0,0
AUS,Australia,33,1902,soc,20,0
AUS,Australia,33,1903,agr,0,0
AUS,Australia,33,1903,chr,0,0
AUS,Australia,33,1903,com,0,0
AUS,Australia,33,1903,con,42.7,100
AUS,Australia,33,1903,eco,0,0
AUS,Australia,33,1903,lib,34.7,0
AUS,Australia,33,1903,other,2.7,0
AUS,Australia,33,1903,right,0,0
AUS,Australia,33,1903,soc,20,0
AUS,Australia,33,1904,agr,0,0
AUS,Australia,33,1904,chr,0,0
AUS,Australia,33,1904,com,0,0
AUS,Australia,33,1904,con,34.7,100
AUS,Australia,33,1904,eco,0,0
AUS,Australia,33,1904,lib,33.3,0
AUS,Australia,33,1904,other,1.3,0
AUS,Australia,33,1904,right,0,0
AUS,Australia,33,1904,soc,30.7,0
AUS,Australia,33,1905,agr,0,0
AUS,Australia,33,1905,chr,0,0
AUS,Australia,33,1905,com,0,0
AUS,Australia,33,1905,con,34.7,51
AUS,Australia,33,1905,eco,0,0
AUS,Australia,33,1905,lib,33.3,49
AUS,Australia,33,1905,other,1.3,0
AUS,Australia,33,1905,right,0,0
AUS,Australia,33,1905,soc,30.7,0
AUS,Australia,33,1906,agr,0,0
AUS,Australia,33,1906,chr,0,0
AUS,Australia,33,1906,com,0,0
AUS,Australia,33,1906,con,34.7,100
AUS,Australia,33,1906,eco,0,0
AUS,Australia,33,1906,lib,33.3,0
AUS,Australia,33,1906,other,1.3,0
AUS,Australia,33,1906,right,0,0
AUS,Australia,33,1906,soc,30.7,0
AUS,Australia,33,1907,agr,0,0
AUS,Australia,33,1907,chr,0,0
AUS,Australia,33,1907,com,0,0
AUS,Australia,33,1907,con,26.7,100
AUS,Australia,33,1907,eco,0,0
AUS,Australia,33,1907,lib,38.7,0
AUS,Australia,33,1907,other,0,0
AUS,Australia,33,1907,right,0,0
AUS,Australia,33,1907,soc,34.7,0
AUS,Australia,33,1908,agr,0,0
AUS,Australia,33,1908,chr,0,0
AUS,Australia,33,1908,com,0,0
AUS,Australia,33,1908,con,26.7,100
AUS,Australia,33,1908,eco,0,0
AUS,Australia,33,1908,lib,38.7,0
AUS,Australia,33,1908,other,0,0
AUS,Australia,33,1908,right,0,0
AUS,Australia,33,1908,soc,34.7,0
AUS,Australia,33,1909,agr,0,0
AUS,Australia,33,1909,chr,0,0
AUS,Australia,33,1909,com,0,0
AUS,Australia,33,1909,con,26.7,0
AUS,Australia,33,1909,eco,0,0
AUS,Australia,33,1909,lib,38.7,0
AUS,Australia,33,1909,other,0,0
AUS,Australia,33,1909,right,0,0
AUS,Australia,33,1909,soc,34.7,100
AUS,Australia,33,1910,agr,0,0
AUS,Australia,33,1910,chr,0,0
AUS,Australia,33,1910,com,0,0
AUS,Australia,33,1910,con,26.7,37.2
AUS,Australia,33,1910,eco,0,0
AUS,Australia,33,1910,lib,38.7,62.8
AUS,Australia,33,1910,other,0,0
AUS,Australia,33,1910,right,0,0
AUS,Australia,33,1910,soc,34.7,0
AUS,Australia,33,1911,agr,0,0
AUS,Australia,33,1911,chr,0,0
AUS,Australia,33,1911,com,0,0
AUS,Australia,33,1911,con,41.3,0
AUS,Australia,33,1911,eco,0,0
AUS,Australia,33,1911,lib,0,0
AUS,Australia,33,1911,other,1.3,0
AUS,Australia,33,1911,right,0,0
AUS,Australia,33,1911,soc,57.3,100
AUS,Australia,33,1912,agr,0,0
AUS,Australia,33,1912,chr,0,0
AUS,Australia,33,1912,com,0,0
AUS,Australia,33,1912,con,41.3,0
AUS,Australia,33,1912,eco,0,0
AUS,Australia,33,1912,lib,0,0
AUS,Australia,33,1912,other,1.3,0
AUS,Australia,33,1912,right,0,0
AUS,Australia,33,1912,soc,57.3,100
AUS,Australia,33,1913,agr,0,0
AUS,Australia,33,1913,chr,0,0
AUS,Australia,33,1913,com,0,0
AUS,Australia,33,1913,con,41.3,0
AUS,Australia,33,1913,eco,0,0
AUS,Australia,33,1913,lib,0,0
AUS,Australia,33,1913,other,1.3,0
AUS,Australia,33,1913,right,0,0
AUS,Australia,33,1913,soc,57.3,100
AUS,Australia,33,1914,agr,0,0
AUS,Australia,33,1914,chr,0,0
AUS,Australia,33,1914,com,0,0
AUS,Australia,33,1914,con,50.7,100
AUS,Australia,33,1914,eco,0,0
AUS,Australia,33,1914,lib,0,0
AUS,Australia,33,1914,other,0,0
AUS,Australia,33,1914,right,0,0
AUS,Australia,33,1914,soc,49.3,0
AUS,Australia,33,1915,agr,0,0
AUS,Australia,33,1915,chr,0,0
AUS,Australia,33,1915,com,0,0
